actionId,kind,postNum,sentenceId,sourceDisposition,sentenceStart,sentenceEnd,sentenceText,populationMembership,oldOccurrenceKeys,oldCategories,proposedPrimaryCategory,proposedSecondarySemantics,proposedReviewDispositions,recordsWithdrawn,withdrawReason,metadataTransferred,relationshipsPreserved,ruleCode,confidence,humanReviewRequired,beforeCountEffect,afterCountEffect,questionSideWasPartial
A-DQ-p0189-s000,DIRECTIVE_QUESTION_UNIFIED,189,p0189-s000,q_authored,0,29,Identify symbolism (Owl / Y).,DIRECTIVE_QUESTION_220,189|directives|0|29 189|questions|0|29,directives@0..29[EXACT] questions@0..29[EXACT],directive,question,,,,189|directives|0|29 189|questions|0|29,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1908-s005,DIRECTIVE_QUESTION_UNIFIED,1908,p1908-s005,q_authored,201,292,"Ask yourself, would you NOT want to be at your preferred destination PRIOR TO going public?",DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,1908|directives|201|292 1908|questions|215|292,directives@201..292[EXACT] questions@215..292[PARTIAL],question,directive,,1908|questions|215|292,directive-wrapped question: the embedded partial span is superseded by the complete sentence,1908|directives|201|292 1908|questions|215|292,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p1926-s000,DIRECTIVE_QUESTION_UNIFIED,1926,p1926-s000,q_authored,0,17,Define 'Fascism'.,DIRECTIVE_QUESTION_220,1926|directives|0|17 1926|questions|0|17,directives@0..17[EXACT] questions@0..17[EXACT],directive,question,,,,1926|directives|0|17 1926|questions|0|17,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1926-s002,DIRECTIVE_QUESTION_UNIFIED,1926,p1926-s002,q_authored,55,75,Define 'Censorship'.,DIRECTIVE_QUESTION_220,1926|directives|55|75 1926|questions|55|75,directives@55..75[EXACT] questions@55..75[EXACT],directive,question,,,,1926|directives|55|75 1926|questions|55|75,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1926-s004,DIRECTIVE_QUESTION_UNIFIED,1926,p1926-s004,q_authored,127,146,Define 'Narrative'.,DIRECTIVE_QUESTION_220,1926|directives|127|146 1926|questions|127|146,directives@127..146[EXACT] questions@127..146[EXACT],directive,question,,,,1926|directives|127|146 1926|questions|127|146,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1926-s006,DIRECTIVE_QUESTION_UNIFIED,1926,p1926-s006,q_authored,288,308,Define 'Projection'.,DIRECTIVE_QUESTION_220,1926|directives|288|308 1926|questions|288|308,directives@288..308[EXACT] questions@288..308[EXACT],directive,question,,,,1926|directives|288|308 1926|questions|288|308,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1926-s009,DIRECTIVE_QUESTION_UNIFIED,1926,p1926-s009,q_authored,531,565,Define 'Psychological Projection'.,DIRECTIVE_QUESTION_220,1926|directives|531|565 1926|questions|531|565,directives@531..565[EXACT] questions@531..565[EXACT],directive,question,,,,1926|directives|531|565 1926|questions|531|565,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1926-s011,DIRECTIVE_QUESTION_UNIFIED,1926,p1926-s011,q_authored,773,793,Define 'Narcissist'.,DIRECTIVE_QUESTION_220,1926|directives|773|793 1926|questions|773|793,directives@773..793[EXACT] questions@773..793[EXACT],directive,question,,,,1926|directives|773|793 1926|questions|773|793,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1926-s013,DIRECTIVE_QUESTION_UNIFIED,1926,p1926-s013,q_authored,976,991,Define 'Dogma'.,DIRECTIVE_QUESTION_220,1926|directives|976|991 1926|questions|976|991,directives@976..991[EXACT] questions@976..991[EXACT],directive,question,,,,1926|directives|976|991 1926|questions|976|991,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1926-s015,DIRECTIVE_QUESTION_UNIFIED,1926,p1926-s015,q_authored,1070,1090,Define 'Aggression'.,DIRECTIVE_QUESTION_220,1926|directives|1070|1090 1926|questions|1070|1090,directives@1070..1090[EXACT] questions@1070..1090[EXACT],directive,question,,,,1926|directives|1070|1090 1926|questions|1070|1090,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1926-s017,DIRECTIVE_QUESTION_UNIFIED,1926,p1926-s017,q_authored,1168,1189,Define 'Suppression'.,DIRECTIVE_QUESTION_220,1926|directives|1168|1189 1926|questions|1168|1189,directives@1168..1189[EXACT] questions@1168..1189[EXACT],directive,question,,,,1926|directives|1168|1189 1926|questions|1168|1189,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1926-s022,DIRECTIVE_QUESTION_UNIFIED,1926,p1926-s022,q_authored,1446,1463,Define 'Realism'.,DIRECTIVE_QUESTION_220,1926|directives|1446|1463 1926|questions|1446|1463,directives@1446..1463[EXACT] questions@1446..1463[EXACT],directive,question,,,,1926|directives|1446|1463 1926|questions|1446|1463,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1927-s001,DIRECTIVE_QUESTION_UNIFIED,1927,p1927-s001,q_authored,8,28,Define 'Subversion'.,DIRECTIVE_QUESTION_220,1927|directives|8|28 1927|questions|8|28,directives@8..28[EXACT] questions@8..28[EXACT],directive,question,,,,1927|directives|8|28 1927|questions|8|28,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1935-s004,DIRECTIVE_QUESTION_UNIFIED,1935,p1935-s004,q_authored,515,535,Define 'Projection'.,DIRECTIVE_QUESTION_220,1935|directives|515|535 1935|questions|515|535,directives@515..535[EXACT] questions@515..535[EXACT],directive,question,,,,1935|directives|515|535 1935|questions|515|535,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1935-s021,DIRECTIVE_QUESTION_UNIFIED,1935,p1935-s021,q_authored,859,955,"Ask yourself, if above are central to operational success, who would you pick to lead such orgs?",DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,1935|directives|859|955 1935|questions|873|955,directives@859..955[EXACT] questions@873..955[PARTIAL],question,directive,,1935|questions|873|955,directive-wrapped question: the embedded partial span is superseded by the complete sentence,1935|directives|859|955 1935|questions|873|955,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p1935-s025,DIRECTIVE_QUESTION_UNIFIED,1935,p1935-s025,q_authored,1054,1072,Define DARK MONEY.,DIRECTIVE_QUESTION_220,1935|directives|1054|1072 1935|questions|1054|1072,directives@1054..1072[EXACT] questions@1054..1072[EXACT],directive,question,,,,1935|directives|1054|1072 1935|questions|1054|1072,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1944-s005,DIRECTIVE_QUESTION_UNIFIED,1944,p1944-s005,q_authored,106,129,Define 'State Secrets'.,DIRECTIVE_QUESTION_220,1944|directives|106|129 1944|questions|106|129,directives@106..129[EXACT] questions@106..129[EXACT],directive,question,,,,1944|directives|106|129 1944|questions|106|129,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1944-s023,DIRECTIVE_QUESTION_UNIFIED,1944,p1944-s023,q_authored,1246,1266,Define 'Projection'.,DIRECTIVE_QUESTION_220,1944|directives|1246|1266 1944|questions|1246|1266,directives@1246..1266[EXACT] questions@1246..1266[EXACT],directive,question,,,,1944|directives|1246|1266 1944|questions|1246|1266,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1945-s000,DIRECTIVE_QUESTION_UNIFIED,1945,p1945-s000,q_authored,10,27,Define 'Treason'.,DIRECTIVE_QUESTION_220,1945|directives|10|27 1945|questions|10|27,directives@10..27[EXACT] questions@10..27[EXACT],directive,question,,,,1945|directives|10|27 1945|questions|10|27,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1945-s022,DIRECTIVE_QUESTION_UNIFIED,1945,p1945-s022,q_authored,2024,2044,Define 'Projection'.,DIRECTIVE_QUESTION_220,1945|directives|2024|2044 1945|questions|2024|2044,directives@2024..2044[EXACT] questions@2024..2044[EXACT],directive,question,,,,1945|directives|2024|2044 1945|questions|2024|2044,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1948-s044,DIRECTIVE_QUESTION_UNIFIED,1948,p1948-s044,q_authored,1780,1800,Define 'Contractor'.,DIRECTIVE_QUESTION_220,1948|directives|1780|1800 1948|questions|1780|1800,directives@1780..1800[EXACT] questions@1780..1800[EXACT],directive,question,,,,1948|directives|1780|1800 1948|questions|1780|1800,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1948-s045,DIRECTIVE_QUESTION_UNIFIED,1948,p1948-s045,q_authored,1801,1828,Define the 'PRISM' program.,DIRECTIVE_QUESTION_220,1948|directives|1801|1828 1948|questions|1801|1828,directives@1801..1828[EXACT] questions@1801..1828[EXACT],directive,question,,,,1948|directives|1801|1828 1948|questions|1801|1828,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p1972-s006,DIRECTIVE_QUESTION_UNIFIED,1972,p1972-s006,q_authored,191,208,Define 'Shelter'.,DIRECTIVE_QUESTION_220,1972|directives|191|208 1972|questions|191|208,directives@191..208[EXACT] questions@191..208[EXACT],directive,question,,,,1972|directives|191|208 1972|questions|191|208,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2000-s003,DIRECTIVE_QUESTION_UNIFIED,2000,p2000-s003,q_authored,131,149,"Ask yourself, why?",DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,2000|directives|131|149 2000|questions|145|149,directives@131..149[EXACT] questions@145..149[PARTIAL],question,directive,,2000|questions|145|149,directive-wrapped question: the embedded partial span is superseded by the complete sentence,2000|directives|131|149 2000|questions|145|149,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p2032-s004,DIRECTIVE_QUESTION_UNIFIED,2032,p2032-s004,q_authored,159,181,Define 'Human Nature'.,DIRECTIVE_QUESTION_220,2032|directives|159|181 2032|questions|159|181,directives@159..181[EXACT] questions@159..181[EXACT],directive,question,,,,2032|directives|159|181 2032|questions|159|181,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2032-s018,DIRECTIVE_QUESTION_UNIFIED,2032,p2032-s018,q_authored,868,890,Define 'Echo Chamber'.,DIRECTIVE_QUESTION_220,2032|directives|868|890 2032|questions|868|890,directives@868..890[EXACT] questions@868..890[EXACT],directive,question,,,,2032|directives|868|890 2032|questions|868|890,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2171-s002,DIRECTIVE_QUESTION_UNIFIED,2171,p2171-s002,q_authored,125,142,Define 'Fascism'.,DIRECTIVE_QUESTION_220,2171|directives|125|142 2171|questions|125|142,directives@125..142[EXACT] questions@125..142[EXACT],directive,question,,,,2171|directives|125|142 2171|questions|125|142,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2171-s004,DIRECTIVE_QUESTION_UNIFIED,2171,p2171-s004,q_authored,180,200,Define 'Censorship'.,DIRECTIVE_QUESTION_220,2171|directives|180|200 2171|questions|180|200,directives@180..200[EXACT] questions@180..200[EXACT],directive,question,,,,2171|directives|180|200 2171|questions|180|200,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2171-s006,DIRECTIVE_QUESTION_UNIFIED,2171,p2171-s006,q_authored,252,271,Define 'Narrative'.,DIRECTIVE_QUESTION_220,2171|directives|252|271 2171|questions|252|271,directives@252..271[EXACT] questions@252..271[EXACT],directive,question,,,,2171|directives|252|271 2171|questions|252|271,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2171-s008,DIRECTIVE_QUESTION_UNIFIED,2171,p2171-s008,q_authored,413,433,Define 'Projection'.,DIRECTIVE_QUESTION_220,2171|directives|413|433 2171|questions|413|433,directives@413..433[EXACT] questions@413..433[EXACT],directive,question,,,,2171|directives|413|433 2171|questions|413|433,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2171-s011,DIRECTIVE_QUESTION_UNIFIED,2171,p2171-s011,q_authored,656,690,Define 'Psychological Projection'.,DIRECTIVE_QUESTION_220,2171|directives|656|690 2171|questions|656|690,directives@656..690[EXACT] questions@656..690[EXACT],directive,question,,,,2171|directives|656|690 2171|questions|656|690,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2171-s013,DIRECTIVE_QUESTION_UNIFIED,2171,p2171-s013,q_authored,898,918,Define 'Narcissist'.,DIRECTIVE_QUESTION_220,2171|directives|898|918 2171|questions|898|918,directives@898..918[EXACT] questions@898..918[EXACT],directive,question,,,,2171|directives|898|918 2171|questions|898|918,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2171-s015,DIRECTIVE_QUESTION_UNIFIED,2171,p2171-s015,q_authored,1101,1116,Define 'Dogma'.,DIRECTIVE_QUESTION_220,2171|directives|1101|1116 2171|questions|1101|1116,directives@1101..1116[EXACT] questions@1101..1116[EXACT],directive,question,,,,2171|directives|1101|1116 2171|questions|1101|1116,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2171-s017,DIRECTIVE_QUESTION_UNIFIED,2171,p2171-s017,q_authored,1195,1215,Define 'Aggression'.,DIRECTIVE_QUESTION_220,2171|directives|1195|1215 2171|questions|1195|1215,directives@1195..1215[EXACT] questions@1195..1215[EXACT],directive,question,,,,2171|directives|1195|1215 2171|questions|1195|1215,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2171-s019,DIRECTIVE_QUESTION_UNIFIED,2171,p2171-s019,q_authored,1293,1314,Define 'Suppression'.,DIRECTIVE_QUESTION_220,2171|directives|1293|1314 2171|questions|1293|1314,directives@1293..1314[EXACT] questions@1293..1314[EXACT],directive,question,,,,2171|directives|1293|1314 2171|questions|1293|1314,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2171-s024,DIRECTIVE_QUESTION_UNIFIED,2171,p2171-s024,q_authored,1571,1588,Define 'Realism'.,DIRECTIVE_QUESTION_220,2171|directives|1571|1588 2171|questions|1571|1588,directives@1571..1588[EXACT] questions@1571..1588[EXACT],directive,question,,,,2171|directives|1571|1588 2171|questions|1571|1588,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2180-s012,DIRECTIVE_QUESTION_UNIFIED,2180,p2180-s012,q_authored,1084,1101,Define 'Traitor'.,DIRECTIVE_QUESTION_220,2180|directives|1084|1101 2180|questions|1084|1101,directives@1084..1101[EXACT] questions@1084..1101[EXACT],directive,question,,,,2180|directives|1084|1101 2180|questions|1084|1101,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2206-s001,DIRECTIVE_QUESTION_UNIFIED,2206,p2206-s001,q_authored,62,80,DEFINE PROJECTION.,DIRECTIVE_QUESTION_220,2206|directives|62|80 2206|questions|62|80,directives@62..80[EXACT] questions@62..80[EXACT],directive,question,,,,2206|directives|62|80 2206|questions|62|80,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2248-s000,DIRECTIVE_QUESTION_UNIFIED,2248,p2248-s000,q_authored,0,91,"Ask yourself, how would 'FOREIGN' Allies' KNOW what is within a US TOP SECRET FISA warrant?",DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,2248|directives|0|91 2248|questions|14|91,directives@0..91[EXACT] questions@14..91[PARTIAL],question,directive,,2248|questions|14|91,directive-wrapped question: the embedded partial span is superseded by the complete sentence,2248|directives|0|91 2248|questions|14|91,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p2248-s002,DIRECTIVE_QUESTION_UNIFIED,2248,p2248-s002,q_authored,164,240,"Ask yourself, why are [2] 'KEY' Allies' VERY CONCERNED re: DECLAS & RELEASE?",DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,2248|directives|164|240 2248|questions|178|240,directives@164..240[EXACT] questions@178..240[PARTIAL],question,directive,,2248|questions|178|240,directive-wrapped question: the embedded partial span is superseded by the complete sentence,2248|directives|164|240 2248|questions|178|240,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p2300-s009,DIRECTIVE_QUESTION_UNIFIED,2300,p2300-s009,q_authored,526,543,Define 'Treason'.,DIRECTIVE_QUESTION_220,2300|directives|526|543 2300|questions|526|543,directives@526..543[EXACT] questions@526..543[EXACT],directive,question,,,,2300|directives|526|543 2300|questions|526|543,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2300-s011,DIRECTIVE_QUESTION_UNIFIED,2300,p2300-s011,q_authored,658,678,Define 'Subversion'.,DIRECTIVE_QUESTION_220,2300|directives|658|678 2300|questions|658|678,directives@658..678[EXACT] questions@658..678[EXACT],directive,question,,,,2300|directives|658|678 2300|questions|658|678,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0236-s018,DIRECTIVE_QUESTION_UNIFIED,236,p0236-s018,q_authored,459,474,Define hostage.,DIRECTIVE_QUESTION_220,236|directives|459|474 236|questions|459|474,directives@459..474[EXACT] questions@459..474[EXACT],directive,question,,,,236|directives|459|474 236|questions|459|474,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0236-s025,DIRECTIVE_QUESTION_UNIFIED,236,p0236-s025,q_authored,690,704,Define stages.,DIRECTIVE_QUESTION_220,236|directives|690|704 236|questions|690|704,directives@690..704[EXACT] questions@690..704[EXACT],directive,question,,,,236|directives|690|704 236|questions|690|704,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0236-s026,DIRECTIVE_QUESTION_UNIFIED,236,p0236-s026,q_authored,706,721,Define puppets.,DIRECTIVE_QUESTION_220,236|directives|706|721 236|questions|706|721,directives@706..721[EXACT] questions@706..721[EXACT],directive,question,,,,236|directives|706|721 236|questions|706|721,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0236-s027,DIRECTIVE_QUESTION_UNIFIED,236,p0236-s027,q_authored,722,745,Define puppet handlers.,DIRECTIVE_QUESTION_220,236|directives|722|745 236|questions|722|745,directives@722..745[EXACT] questions@722..745[EXACT],directive,question,,,,236|directives|722|745 236|questions|722|745,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0236-s028,DIRECTIVE_QUESTION_UNIFIED,236,p0236-s028,q_authored,747,764,Define proxy war.,DIRECTIVE_QUESTION_220,236|directives|747|764 236|questions|747|764,directives@747..764[EXACT] questions@747..764[EXACT],directive,question,,,,236|directives|747|764 236|questions|747|764,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2369-s004,DIRECTIVE_QUESTION_UNIFIED,2369,p2369-s004,q_authored,334,354,Define 'Projection'.,DIRECTIVE_QUESTION_220,2369|directives|334|354 2369|questions|334|354,directives@334..354[EXACT] questions@334..354[EXACT],directive,question,,,,2369|directives|334|354 2369|questions|334|354,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p0243-s005,DIRECTIVE_QUESTION_UNIFIED,243,p0243-s005,q_authored,173,218,List who will not be running for re_election.,DIRECTIVE_QUESTION_220,243|directives|173|218 243|questions|173|218,directives@173..218[EXACT] questions@173..218[EXACT],directive,question,,,,243|directives|173|218 243|questions|173|218,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2501-s002,DIRECTIVE_QUESTION_UNIFIED,2501,p2501-s002,q_authored,215,231,List advantages.,DIRECTIVE_QUESTION_220,2501|directives|215|231 2501|questions|215|231,directives@215..231[EXACT] questions@215..231[EXACT],directive,question,,,,2501|directives|215|231 2501|questions|215|231,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2523-s005,DIRECTIVE_QUESTION_UNIFIED,2523,p2523-s005,q_authored,403,419,Define 'Treason',DIRECTIVE_QUESTION_220,2523|directives|403|419 2523|questions|403|419,directives@403..419[EXACT] questions@403..419[EXACT],directive,question,,,,2523|directives|403|419 2523|questions|403|419,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2527-s002,DIRECTIVE_QUESTION_UNIFIED,2527,p2527-s002,q_authored,27,43,Define 'unified',DIRECTIVE_QUESTION_220,2527|directives|27|43 2527|questions|27|43,directives@27..43[EXACT] questions@27..43[EXACT],directive,question,,,,2527|directives|27|43 2527|questions|27|43,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2534-s000,DIRECTIVE_QUESTION_UNIFIED,2534,p2534-s000,q_authored,10,136,"Ask yourself a very simple question, why is there a  total & complete MSM blackout re: France, Belgium, Germany, EU riots etc?",DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,2534|directives|10|136 2534|questions|47|136,directives@10..136[EXACT] questions@47..136[PARTIAL],question,directive,,2534|questions|47|136,directive-wrapped question: the embedded partial span is superseded by the complete sentence,2534|directives|10|136 2534|questions|47|136,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p2559-s001,DIRECTIVE_QUESTION_UNIFIED,2559,p2559-s001,q_authored,30,50,Define 'PROJECTION'.,DIRECTIVE_QUESTION_220,2559|directives|30|50 2559|questions|30|50,directives@30..50[EXACT] questions@30..50[EXACT],directive,question,,,,2559|directives|30|50 2559|questions|30|50,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2568-s001,DIRECTIVE_QUESTION_UNIFIED,2568,p2568-s001,q_authored,59,79,Define 'Projection'.,DIRECTIVE_QUESTION_220,2568|directives|59|79 2568|questions|59|79,directives@59..79[EXACT] questions@59..79[EXACT],directive,question,,,,2568|directives|59|79 2568|questions|59|79,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2568-s002,DIRECTIVE_QUESTION_UNIFIED,2568,p2568-s002,q_authored,80,116,Define 'Getting Ahead of the Story'.,DIRECTIVE_QUESTION_220,2568|directives|80|116 2568|questions|80|116,directives@80..116[EXACT] questions@80..116[EXACT],directive,question,,,,2568|directives|80|116 2568|questions|80|116,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2594-s001,DIRECTIVE_QUESTION_UNIFIED,2594,p2594-s001,q_authored,35,62,Define 'pecking' [animals].,DIRECTIVE_QUESTION_220,2594|directives|35|62 2594|questions|35|62,directives@35..62[EXACT] questions@35..62[EXACT],directive,question,,,,2594|directives|35|62 2594|questions|35|62,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2645-s002,DIRECTIVE_QUESTION_UNIFIED,2645,p2645-s002,q_authored,96,114,"Ask yourself, why?",DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,2645|directives|96|114 2645|questions|110|114,directives@96..114[EXACT] questions@110..114[PARTIAL],question,directive,,2645|questions|110|114,directive-wrapped question: the embedded partial span is superseded by the complete sentence,2645|directives|96|114 2645|questions|110|114,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p2678-s005,DIRECTIVE_QUESTION_UNIFIED,2678,p2678-s005,q_authored,180,198,"Ask yourself, why?",DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,2678|directives|180|198 2678|questions|194|198,directives@180..198[EXACT] questions@194..198[PARTIAL],question,directive,,2678|questions|194|198,directive-wrapped question: the embedded partial span is superseded by the complete sentence,2678|directives|180|198 2678|questions|194|198,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
A-DQ-p2682-s001,DIRECTIVE_QUESTION_UNIFIED,2682,p2682-s001,q_authored,99,119,Define 'Projection'.,DIRECTIVE_QUESTION_220,2682|directives|99|119 2682|questions|99|119,directives@99..119[EXACT] questions@99..119[EXACT],directive,question,,,,2682|directives|99|119 2682|questions|99|119,question_directive,R2_IMPERATIVE,MEDIUM,false,questions:-1 directives:-1,directive:+1 primary · question:+1 secondary,false
A-DQ-p2691-s006,DIRECTIVE_QUESTION_UNIFIED,2691,p2691-s006,q_authored,629,647,"Ask yourself, why?",DIRECTIVE_QUESTION_220 WRAPPED_PARTIAL_51,2691|directives|629|647 2691|questions|643|647,directives@629..647[EXACT] questions@643..647[PARTIAL],question,directive,,2691|questions|643|647,directive-wrapped question: the embedded partial span is superseded by the complete sentence,2691|directives|629|647 2691|questions|643|647,question_directive,R1_INTERROGATIVE,MEDIUM,false,questions:-1 directives:-1,question:+1 primary · directive:+1 secondary,true
