stableOccurrenceId,postNum,fullSentence,storedFragment,directivePhrase,startOffset,endOffset,authorshipState,sourceType,contextBefore,contextAfter,fragmentClass,sentencesOnLine,shadowRulingForReference,proposedRuling,reason
"4207#1","4207","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","508","704","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand.","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","SENTENCE_ON_SHARED_LINE","7","REMOVE_QUOTED_SCRIPTURE","",""
"4207#2","4207","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","829","912","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","And pray in the Spirit on all occasions with all kinds of prayers and requests. With this in mind, be alert and always keep on praying for all the Lord’s people.","SENTENCE_ON_SHARED_LINE","7","REMOVE_QUOTED_SCRIPTURE","",""
"4255#0","4255","Go.","Go.","Go.","11","14","Q_AUTHORED_CURRENT_POST","Q_BODY","We.","One.","SENTENCE_ON_SHARED_LINE","7","KEEP_Q_DIRECTIVE","",""
"4255#1","4255","Go.","Go.","Go.","24","27","Q_AUTHORED_CURRENT_POST","Q_BODY","We.","All.","SENTENCE_ON_SHARED_LINE","7","KEEP_Q_DIRECTIVE","",""
"43#0","43","Watch for confirmations tomorrow.","Watch for confirmations tomorrow.","Watch for confirmations tomorrow.","434","467","Q_AUTHORED_CURRENT_POST","Q_BODY","Any military seen is for your protection as well as to demonstrate our resolve.","","SENTENCE_ON_SHARED_LINE","6","KEEP_Q_DIRECTIVE","",""
"4317#0","4317","Use corporate DNC media [MSM] push con","Use corporate DNC media [MSM] push con","Use corporate DNC media [MSM] push con","3","41","Q_AUTHORED_CURRENT_POST","Q_BODY","4.","Use 1, 2, 3 and 4 to drive echo-chamber false [idiotic] narrative bad [pro slavery][D]s switched to [R] party and good [anti-slavery][R]s switched to [D] party.","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"44#0","44","God bless.","God bless.","God bless.","84","94","Q_AUTHORED_CURRENT_POST","Q_BODY","Before POTUS departs on Friday he will be sending an important message via Twitter.","","SENTENCE_ON_SHARED_LINE","2","REMOVE_BLESSING_OR_VALEDICTION","",""
"4429#0","4429","Put on the full armor of God, so that you can take your stand against the devil’s schemes.","Put on the full armor of God, so that you can take your stand against the devil's schemes.","Put on the full armor of God, so that you can take your stand against the devil’s schemes.","56","146","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","Finally, be strong in the Lord and in his mighty power.","For our struggle is not against flesh and blood, but against the rulers, against the authorities, against the powers of this dark world and against the spiritual forces of evil in the heavenly realms.","SENTENCE_ON_SHARED_LINE","7","REMOVE_QUOTED_SCRIPTURE","",""
"4429#1","4429","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","508","704","QUOTED_OR_EMBEDDED","QUOTED_SCRIPTURE","Therefore put on the full armor of God, so that when the day of evil comes, you may be able to stand your ground, and after you have done everything, to stand.","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","SENTENCE_ON_SHARED_LINE","7","REMOVE_QUOTED_SCRIPTURE","",""
"4437#0","4437","find('input.js-password-field').set(ENV['TWITTER_PASSWORD']) click_on('Log in') end","find('input.js-password-field').set(ENV['TWITTER_PASSWORD']) click_on('Log in') end","find('input.js-password-field').set(ENV['TWITTER_PASSWORD']) click_on('Log in') end","4","5","Q_AUTHORED_CURRENT_POST","CODE_OR_TECHNICAL_TEXT","find('input.js-username-field').set(ENV['TWITTER_USERNAME'])","def enter_url_and_click_preview(url)","MID_SENTENCE_FRAGMENT","1","REMOVE_CODE_OR_TECHNICAL_TEXT","",""
"4437#1","4437","end","end","end","2","5","Q_AUTHORED_CURRENT_POST","CODE_OR_TECHNICAL_TEXT","click_on('Log in')","def enter_url_and_click_preview(url)","MID_SENTENCE_FRAGMENT","1","REMOVE_CODE_OR_TECHNICAL_TEXT","",""
"4437#2","4437","find('input.js-username-field').set(ENV['TWITTER_USERNAME'])","find('input.js-username-field').set(ENV['TWITTER_USERNAME'])","find('input.js-username-field').set(ENV['TWITTER_USERNAME'])","4","64","Q_AUTHORED_CURRENT_POST","CODE_OR_TECHNICAL_TEXT","visit 'https://cards-dev.twitter.com/validator'","find('input.js-password-field').set(ENV['TWITTER_PASSWORD'])","MID_SENTENCE_FRAGMENT","1","REMOVE_CODE_OR_TECHNICAL_TEXT","",""
"4437#3","4437","find('input.js-password-field').set(ENV['TWITTER_PASSWORD'])","find('input.js-password-field').set(ENV['TWITTER_PASSWORD'])","find('input.js-password-field').set(ENV['TWITTER_PASSWORD'])","4","64","Q_AUTHORED_CURRENT_POST","CODE_OR_TECHNICAL_TEXT","find('input.js-username-field').set(ENV['TWITTER_USERNAME'])","click_on('Log in')","MID_SENTENCE_FRAGMENT","1","REMOVE_CODE_OR_TECHNICAL_TEXT","",""
"4437#4","4437","find('input.FormControl').set(url)","find('input.FormControl').set(url)","find('input.FormControl').set(url)","4","38","Q_AUTHORED_CURRENT_POST","CODE_OR_TECHNICAL_TEXT","def enter_url_and_click_preview(url)","click_on('Preview card')","MID_SENTENCE_FRAGMENT","1","REMOVE_CODE_OR_TECHNICAL_TEXT","",""
"4565#0","4565","Feed an addiction [controllable]","Feed an addiction [controllable]","Feed an addiction [controllable]","3","35","Q_AUTHORED_CURRENT_POST","Q_BODY","2.","Maxwell family background?","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4566#0","4566","Do not think 'today' but rather 'after' today.","Do not think 'today' but rather 'after' today.","Do not think 'today' but rather 'after' today.","88","134","Q_AUTHORED_CURRENT_POST","Q_BODY","Counter-argument: Do not make statements based on assumption of 'worth' and/or 'value'.","ONE LEADS TO ANOTHER TO ANOTHER TO ANOTHER.","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4620#0","4620","Test conditional limits of public acceptance [obey]","Test conditional limits of public acceptance [obey]","Test conditional limits of public acceptance [obey]","5","56","Q_AUTHORED_CURRENT_POST","Q_BODY","13.","14.	 Test conditional limits of public non_acceptance","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4620#1","4620","Test conditional limits of public non_acceptance","Test conditional limits of public non_acceptance","Test conditional limits of public non_acceptance","5","53","Q_AUTHORED_CURRENT_POST","Q_BODY","14.","15.	 Test conditional limits of State authority [Gov-mayor]","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4620#2","4620","Test conditional limits of State authority [Gov-mayor]","Test conditional limits of State authority [Gov-mayor]","Test conditional limits of State authority [Gov-mayor]","5","59","Q_AUTHORED_CURRENT_POST","Q_BODY","15.","16.	 Test conditional limits of Media [social] censorship","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4620#3","4620","Test conditional limits of Media [social] censorship","Test conditional limits of Media [social] censorship","Test conditional limits of Media [social] censorship","5","57","Q_AUTHORED_CURRENT_POST","Q_BODY","16.","Who benefits the most?","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4688#0","4688","Protect Biden from Ukraine scandal re: himself & son _C19 change of narrative","Protect Biden from Ukraine scandal re: himself & son _C19 change of narrative","Protect Biden from Ukraine scandal re: himself & son _C19 change of narrative","3","80","Q_AUTHORED_CURRENT_POST","Q_BODY","5.","6. Protect Biden from sexual assault allegation _C19 change narrative","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4688#1","4688","Protect Biden from sexual assault allegation _C19 change narrative","Protect Biden from sexual assault allegation _C19 change narrative","Protect Biden from sexual assault allegation _C19 change narrative","3","69","Q_AUTHORED_CURRENT_POST","Q_BODY","6.","7. Protect and shelter #MeToo [D] created movement _preserve to target future [R] sexual assault allegations _allow hold vs Biden due to C19 narrative change","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4688#2","4688","Protect and shelter #MeToo [D] created movement _preserve to target future [R] sexual assault allegations _allow hold vs Biden due to C19 narrative change","Protect and shelter #MeToo [D] created movement _preserve to target future [R] sexual assault allegations _allow hold vs Biden due to C19 narrative change","Protect and shelter #MeToo [D] created movement _preserve to target future [R] sexual assault allegations _allow hold vs Biden due to C19 narrative change","3","157","Q_AUTHORED_CURRENT_POST","Q_BODY","7.","8. Create non_digital pathway to rig 2020 Presidential election _engage 80 million mail-in-ballot distribution [coordinated as early as April/May] to sidestep election night defeat [no 'concede'] attempt ballot harvest media push 'we don't know how many ballots are left undelivered by postal service' re: legal challenge battleground states _stall_challenge_push division/chaos _CLAS1-99","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4688#3","4688","Create non_digital pathway to rig 2020 Presidential election _engage 80 million mail-in-ballot distribution [coordinated as early as April/May] to sidestep election night defeat [no 'concede'] attempt ballot harvest media push 'we don't know how many ballots are left undelivered by postal service' re: legal challenge battleground states _stall_challenge_push division/chaos _CLAS1-99","Create non_digital pathway to rig 2020 Presidential election _engage 80 million mail-in-ballot distribution [coordinated as early as April/May] to sidestep election night defeat [no 'concede'] attempt ballot harvest media push 'we don't know how many ballots are left undelivered by postal service' re: legal challenge battleground states _stall_challenge_push division/chaos _CLAS1-99","Create non_digital pathway to rig 2020 Presidential election _engage 80 million mail-in-ballot distribution [coordinated as early as April/May] to sidestep election night defeat [no 'concede'] attempt ballot harvest media push 'we don't know how many ballots are left undelivered by postal service' re: legal challenge battleground states _stall_challenge_push division/chaos _CLAS1-99","3","388","Q_AUTHORED_CURRENT_POST","Q_BODY","8.","9. Create division hatred fear campaign primarily scare senior citizens from voting in person on election day _riots _protests _C19 death _eliminate enough senior [R] votes counteract [D] to [R] defection(s)","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4688#4","4688","Create division hatred fear campaign primarily scare senior citizens from voting in person on election day _riots _protests _C19 death _eliminate enough senior [R] votes counteract [D] to [R] defection(s)","Create division hatred fear campaign primarily scare senior citizens from voting in person on election day _riots _protests _C19 death _eliminate enough senior [R] votes counteract [D] to [R] defection(s)","Create division hatred fear campaign primarily scare senior citizens from voting in person on election day _riots _protests _C19 death _eliminate enough senior [R] votes counteract [D] to [R] defection(s)","3","207","Q_AUTHORED_CURRENT_POST","Q_BODY","9.","10. Create impression country divided _use EU-early war election gaming tactics against current administration","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4688#5","4688","Create impression country divided _use EU-early war election gaming tactics against current administration","Create impression country divided _use EU-early war election gaming tactics against current administration","Create impression country divided _use EU-early war election gaming tactics against current administration","4","110","Q_AUTHORED_CURRENT_POST","Q_BODY","10.","11. Propaganda blame attack current administration economic hardship(s), death toll, attack plan re: safety and wellbeing re: C19 failed _push Biden _stage Biden had answer to Pandemic early on _country will heal w: Biden victory _violence will end w: Biden victory","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4688#6","4688","Change narrative 44 administration treason & corruption to POTUS C19 failure and death blame","Change narrative 44 administration treason & corruption to POTUS C19 failure and death blame","Change narrative 44 administration treason & corruption to POTUS C19 failure and death blame","4","96","Q_AUTHORED_CURRENT_POST","Q_BODY","12.","13. Isolate faithful from each other _remove ability to attend Church [house of worship]","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4688#7","4688","Leave door open to Constitution crisis","Leave door open to Constitution crisis","Leave door open to Constitution crisis","4","42","Q_AUTHORED_CURRENT_POST","Q_BODY","15.","16. Avoid/delay public exposure of corruption & accountability _prevent loss of control/power","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4688#8","4688","Avoid/delay public exposure of corruption & accountability _prevent loss of control/power","Avoid/delay public exposure of corruption & accountability _prevent loss of control/power","Avoid/delay public exposure of corruption & accountability _prevent loss of control/power","4","93","Q_AUTHORED_CURRENT_POST","Q_BODY","16.","17. Avoid/delay loss of US taxpayer trillions due to loss of control _inability to enact corrupt policy to send money overseas disguised as goodwill/climate _unregulated _no audit policy","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4688#9","4688","Avoid/delay loss of US taxpayer trillions due to loss of control _inability to enact corrupt policy to send money overseas disguised as goodwill/climate _unregulated _no audit policy","Avoid/delay loss of US taxpayer trillions due to loss of control _inability to enact corrupt policy to send money overseas disguised as goodwill/climate _unregulated _no audit policy","Avoid/delay loss of US taxpayer trillions due to loss of control _inability to enact corrupt policy to send money overseas disguised as goodwill/climate _unregulated _no audit policy","4","186","Q_AUTHORED_CURRENT_POST","Q_BODY","17.","18.","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"4739#0","4739","Make me brave, so I can stand and fight the spiritual battles in my life and in our world.","Make me brave, so I can stand and fight the spiritual battles in my life and in our world.","Make me brave, so I can stand and fight the spiritual battles in my life and in our world.","90","180","QUOTED_OR_EMBEDDED","QUOTED_PRAYER","Forgive my sins, so that I may be clean in your righteousness.","Give me your wisdom and discernment so I won't be caught off guard.","SENTENCE_ON_SHARED_LINE","13","REMOVE_PRAYER_TEXT","",""
"4739#1","4739","Give me your wisdom and discernment so I won't be caught off guard.","Give me your wisdom and discernment so I won't be caught off guard.","Give me your wisdom and discernment so I won't be caught off guard.","181","248","QUOTED_OR_EMBEDDED","QUOTED_PRAYER","Make me brave, so I can stand and fight the spiritual battles in my life and in our world.","Together, Lord, we'll win, because in truth, you already have.","SENTENCE_ON_SHARED_LINE","13","REMOVE_PRAYER_TEXT","",""
"5#1","5","Note this doesn’t include massive slush funds that are pulled by several high ups.","Note this doesn't include massive slush funds that are pulled by several high ups.","Note this doesn’t include massive slush funds that are pulled by several high ups.","54","136","Q_AUTHORED_CURRENT_POST","Q_BODY","Why did Soros transfer his bulk public funds to a NP?","Why did Soros’ son have several meetings with Canadian PM and how is that related to Clinton’s?","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"520#4","520","Get smart, MAKE AMERICA GREAT AGAIN!","Get smart, MAKE AMERICA GREAT AGAIN!","Get smart, MAKE AMERICA GREAT AGAIN!","234","270","Q_AUTHORED_CURRENT_POST","Q_BODY","The Dems will threaten “shutdown,” but what they are really doing is shutting down our military, at a time we need it most.","WE ARE FIGHTING FOR OUR COUNTRY!""","SENTENCE_ON_SHARED_LINE","3","KEEP_Q_DIRECTIVE","",""
"6#4","6","Note this doesn’t include massive slush funds that are pulled by several high ups.","Note this doesn't include massive slush funds that are pulled by several high ups.","Note this doesn’t include massive slush funds that are pulled by several high ups.","54","136","Q_AUTHORED_CURRENT_POST","Q_BODY","Why did Soros transfer his bulk public funds to a NP?","Why did Soros’ son have several meetings with Canadian PM and how is that related to Clinton’s?","SENTENCE_ON_SHARED_LINE","2","KEEP_Q_DIRECTIVE","",""
"7#0","7","Put simply, Obama ultimately OK’d by using the non govt email addy to communicate w/ Clinton.","Put simply, Obama ultimately OK'd by using the non govt email addy to communicate w/ Clinton.","Put simply, Obama ultimately OK’d by using the non govt email addy to communicate w/ Clinton.","42","135","Q_AUTHORED_CURRENT_POST","Q_BODY","Why wasn’t HRC prosecuted for the emails?","Obama also had an alias along with each of his cabinet members.","SENTENCE_ON_SHARED_LINE","6","KEEP_Q_DIRECTIVE","",""
"7#1","7","Remember he lied about knowing but that ultimately came out in the dump.","Remember he lied about knowing but that ultimately came out in the dump.","Remember he lied about knowing but that ultimately came out in the dump.","298","370","Q_AUTHORED_CURRENT_POST","Q_BODY","Therefore indicting HRC would lead to indicting Obama & his cabinet etc which could never happen.","Poof!","SENTENCE_ON_SHARED_LINE","6","KEEP_Q_DIRECTIVE","",""
