post,index,fullSentence,directivePhrase,religiousSegment,qAuthored,sourceType,currentClassification,proposedClassification,religious,ruling,reason
"1863","0","Do not let this HYPOCRISY stand.","Do not let this HYPOCRISY stand.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1863","1","FIGHT!","FIGHT!","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1866","0","EYES ON.","EYES ON.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1866","1","Think offense.","Think offense.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1867","0","Enjoy the show.","Enjoy the show.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1868","0","Do not link to [CF].","Do not link to [CF].","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1869","0","Calculate probability.","Calculate probability.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1869","1","Think missile intercept.","Think missile intercept.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1869","2","Think aircraft.","Think aircraft.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1870","0","Think waves.","Think waves.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1870","1","Think coordinated.","Think coordinated.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1870","2","Think ALL outlets utilized + FAKES [Fake MAGA]","Think ALL outlets utilized + FAKES [Fake MAGA]","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1871","0","Find the connections.","Find the connections.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1872","0","Think previous: BOOM BOOM BOOM BOOM","Think previous: BOOM BOOM BOOM BOOM","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1872","1","Re_read drops re: SET UP.","Re_read drops re: SET UP.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1873","0","Ask yourself - WHY?","Ask yourself - WHY?","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1876","0","Think XKeyscore + PRISM specifically.","Think XKeyscore + PRISM specifically.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1876","1","Think SIGINT.","Think SIGINT.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1879","0","Expect MANY MANY MANY similar reports to surface from around the world.","Expect MANY MANY MANY similar reports to surface from around the world.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1882","0","Read very carefully.","Read very carefully.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1886","0","Put on the full armor of God so that you can take your stand against the devil's schemes.","Put on the full armor of God so that you can take your stand against the devil's schemes.","","true","q_post_body","Q Directive","Removed from Q Directives","true","REMOVE_QUOTED_SCRIPTURE","Grammatically imperative, but the imperative belongs to quoted Bible text, not to Q."
"1886","1","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","Stand firm then, with the belt of truth buckled around your waist, with the breastplate of righteousness in place, and with your feet fitted with the readiness that comes from the gospel of peace.","","true","q_post_body","Q Directive","Removed from Q Directives","false","REMOVE_QUOTED_SCRIPTURE","Grammatically imperative, but the imperative belongs to quoted Bible text, not to Q."
"1886","2","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","Take the helmet of salvation and the sword of the Spirit, which is the word of God.","","true","q_post_body","Q Directive","Removed from Q Directives","true","REMOVE_QUOTED_SCRIPTURE","Grammatically imperative, but the imperative belongs to quoted Bible text, not to Q."
"1887","0","Define C_A regional assets.","Define C_A regional assets.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"189","0","Identify symbolism (Owl / Y).","Identify symbolism (Owl / Y).","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"189","1","Push conspiracy theory.","Push conspiracy theory.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"189","2","Push conspiracy theory and institute new rules allowing for ban.","Push conspiracy theory and institute new rules allowing for ban.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"189","3","Re-read graphic (ex: what family did Soros replace (Y)).","Re-read graphic (ex: what family did Soros replace (Y)).","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1892","0","NEVER FORGET.","NEVER FORGET.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1895","0","Focus on her necklace.","Focus on her necklace.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1895","1","Find the match.","Find the match.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1897","0","Find the matches.","Find the matches.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1897","1","Open source.","Open source.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1898","0","Compare pool of V w/ painting of kids in pool (red shoes).","Compare pool of V w/ painting of kids in pool (red shoes).","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1899","0","Cross against Podesta.","Cross against Podesta.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1899","1","Review 2015/2016 pics (inside only).","Review 2015/2016 pics (inside only).","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1899","2","Travel to Rome.","Travel to Rome.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"19","0","Follow the money.","Follow the money.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"190","0","Have faith.","Have faith.","","true","q_post_body","Q Directive","Removed from Q Directives","true","REMOVE_STATEMENT_OR_HEADING","Religious, but declarative — a statement, slogan or label rather than an instruction."
"1902","0","Compare & contrast.","Compare & contrast.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1902","1","Travel to Rome.","Travel to Rome.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1908","0","Ask yourself simple questions.","Ask yourself simple questions.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1908","1","Ask yourself, would you NOT want to be at your preferred destination PRIOR TO going public?","Ask yourself, would you NOT want to be at your preferred destination PRIOR TO going public?","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1911","0","God bless.","God bless.","","true","q_post_body","Q Directive","Removed from Q Directives","true","REMOVE_BLESSING_OR_VALEDICTION","A blessing, greeting or closing — it instructs no one."
"1912","0","Smile for the camera.","Smile for the camera.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1916","0","See something.","See something.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1916","1","Say something.","Say something.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1916","2","PEOPLE must unite to clean out these old institutions.","PEOPLE must unite to clean out these old institutions.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1919","0","Remember, 'conspiracy' friends, LARPS have access to a full stock of 'original' surveillance photos.","Remember, 'conspiracy' friends, LARPS have access to a full stock of 'original' surveillance photos.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1919","1","Enjoy the show.","Enjoy the show.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"192","0","Compare.","Compare.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"192","1","Think.","Think.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1925","0","Watch the budget.","Watch the budget.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1926","0","Define 'Fascism'.","Define 'Fascism'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1926","1","Define 'Censorship'.","Define 'Censorship'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1926","2","Define 'Narrative'.","Define 'Narrative'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1926","3","Define 'Projection'.","Define 'Projection'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1926","4","Define 'Psychological Projection'.","Define 'Psychological Projection'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1926","5","Define 'Narcissist'.","Define 'Narcissist'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1926","6","Define 'Dogma'.","Define 'Dogma'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1926","7","Define 'Aggression'.","Define 'Aggression'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1926","8","Define 'Suppression'.","Define 'Suppression'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1926","9","Define 'Realism'.","Define 'Realism'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1927","0","Define 'Subversion'.","Define 'Subversion'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1928","0","Enjoy the show.","Enjoy the show.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1929","0","Enjoy the show.","Enjoy the show.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1935","0","Focus Here:","Focus Here:","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1935","1","Define 'Projection'.","Define 'Projection'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1935","2","Ask yourself, if above are central to operational success, who would you pick to lead such orgs?","Ask yourself, if above are central to operational success, who would you pick to lead such orgs?","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1935","3","Compare donors.","Compare donors.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1935","4","Define DARK MONEY.","Define DARK MONEY.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1935","5","Think FLYNN [30].","Think FLYNN [30].","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1936","0","Think for yourself.","Think for yourself.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1936","1","Research for yourself.","Research for yourself.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1936","2","Trust yourself.","Trust yourself.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1936","3","FOLLOW THE FACTS.","FOLLOW THE FACTS.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"194","0","Re-read drops re: NK / Iran.","Re-read drops re: NK / Iran.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1943","0","Watch IRAN.","Watch IRAN.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1943","1","FIGHT FOR YOUR FREEDOM.","FIGHT FOR YOUR FREEDOM.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1944","0","Define 'State Secrets'.","Define 'State Secrets'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1944","1","Define 'Projection'.","Define 'Projection'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1945","0","Define 'Treason'.","Define 'Treason'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1945","1","Define 'Treason'.","Define 'Treason'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1945","2","Define 'Projection'.","Define 'Projection'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1947","0","DEFEND GOOG AT ALL COSTS.","DEFEND GOOG AT ALL COSTS.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1947","1","OPEN THE DOOR AND WE SHALL ALWAYS WALK THROUGH AND TAKE CONTROL.","OPEN THE DOOR AND WE SHALL ALWAYS WALK THROUGH AND TAKE CONTROL.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1948","0","Define 'Contractor'.","Define 'Contractor'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1948","1","Define the 'PRISM' program.","Define the 'PRISM' program.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"195","0","Re-read drops re: NK / Iran.","Re-read drops re: NK / Iran.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1953","0","Stay LOCAL (U.S.)","Stay LOCAL (U.S.)","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1953","1","Think MIRROR.","Think MIRROR.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1953","2","Know your enemy.","Know your enemy.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1955","0","Do not force those not yet ready.","Do not force those not yet ready.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1955","1","Do not isolate yourself within your own family.","Do not isolate yourself within your own family.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1955","2","Stay Strong.","Stay Strong.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1956","0","You MUST stay TOGETHER.","You MUST stay TOGETHER.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1957","0","Buy a history book published 20 years ago.","Buy a history book published 20 years ago.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1957","1","Buy a history book published 10 years ago.","Buy a history book published 10 years ago.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1957","2","Buy a history book published this year.","Buy a history book published this year.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1957","3","Compare.","Compare.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1957","4","Focus on WWI/WWII","Focus on WWI/WWII","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1958","0","Listen carefully.","Listen carefully.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1960","0","Pro TIP: Look @ CrowdStrike","Pro TIP: Look @ CrowdStrike","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1961","0","Stay strong.","Stay strong.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1961","1","Stay the course.","Stay the course.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1961","2","GOD BLESS YOU & YOUR FAMILY.","GOD BLESS YOU & YOUR FAMILY.","","true","q_post_body","Q Directive","Removed from Q Directives","true","REMOVE_BLESSING_OR_VALEDICTION","A blessing, greeting or closing — it instructs no one."
"1964","0","Stay the course.","Stay the course.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1964","1","Think LISA BARSOOMIAN (Smile).","Think LISA BARSOOMIAN (Smile).","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1967","0","Read","Read","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1967","1","Use Logic","Use Logic","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1968","0","See above, reflect, use logic.","See above, reflect, use logic.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1972","0","Define 'Shelter'.","Define 'Shelter'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1974","0","Trust the Plan.","Trust the Plan.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1979","0","Reconcile.","Reconcile.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"198","0","Expand your thinking.","Expand your thinking.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"198","1","Re-read crumbs.","Re-read crumbs.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1980","0","Swap ""of"" w/ ""in.""","Swap ""of"" w/ ""in.""","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1983","0","Think Sever Access [granted]","Think Sever Access [granted]","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1987","0","Enjoy the show.","Enjoy the show.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"1998","0","Expect another BIG coordinated wave [#3] of attacks by FAKE NEWS.","Expect another BIG coordinated wave [#3] of attacks by FAKE NEWS.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2","0","Follow Huma.","Follow Huma.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2","1","God bless fellow Patriots.","God bless fellow Patriots.","","true","q_post_body","Q Directive","Removed from Q Directives","true","REMOVE_BLESSING_OR_VALEDICTION","A blessing, greeting or closing — it instructs no one."
"2000","0","Think about this.","Think about this.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2000","1","Ask yourself, why?","Ask yourself, why?","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2005","0","Follow the LEADER.","Follow the LEADER.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2005","1","Focus Here:","Focus Here:","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2012","0","HAVE A NICE DAY.","HAVE A NICE DAY.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2029","0","Think 'Polls' posted yesterday - [WAPO].","Think 'Polls' posted yesterday - [WAPO].","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2030","0","Think [WAPO]","Think [WAPO]","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2032","0","Reconcile against results.","Reconcile against results.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2032","1","Define 'Human Nature'.","Define 'Human Nature'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2032","2","Define 'Echo Chamber'.","Define 'Echo Chamber'.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2037","0","Think Ports.","Think Ports.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2037","1","Think Legal PROTECTION.","Think Legal PROTECTION.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2037","2","COMPARE VS OTHER STATES.","COMPARE VS OTHER STATES.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2038","0","FIGHT!","FIGHT!","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2039","0","GOD BLESS YOU ALL.","GOD BLESS YOU ALL.","","true","q_post_body","Q Directive","Removed from Q Directives","true","REMOVE_BLESSING_OR_VALEDICTION","A blessing, greeting or closing — it instructs no one."
"2039","1","LET FREEDOM RING, PATRIOTS.","LET FREEDOM RING, PATRIOTS.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2048","0","Enjoy the show.","Enjoy the show.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2049","0","Re_read drops re: SA","Re_read drops re: SA","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2049","1","Have faith.","Have faith.","","true","q_post_body","Q Directive","Removed from Q Directives","true","REMOVE_STATEMENT_OR_HEADING","Religious, but declarative — a statement, slogan or label rather than an instruction."
"205","0","Pick up your phone.","Pick up your phone.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2056","0","Every moment together is a moment you should not waste.","Every moment together is a moment you should not waste.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2062","0","Read between the lines.","Read between the lines.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2063","0","Think GMAIL.","Think GMAIL.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2063","1","Think GMAIL DRAFTS.","Think GMAIL DRAFTS.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2063","2","Think ES RESIGNATION.","Think ES RESIGNATION.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2072","0","Trust yourself.","Trust yourself.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2072","1","Think for yourself.","Think for yourself.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2077","0","Enjoy the show.","Enjoy the show.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2079","0","Add to the list.","Add to the list.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2089","0","Ask yourself a (simple) logical question…","Ask yourself a (simple) logical question…","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"209","0","Expand your thinking.","Expand your thinking.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2094","0","Think EO.","Think EO.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2094","1","Think HRC panic.","Think HRC panic.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2096","0","Stay the course and trust the plan.","Stay the course and trust the plan.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2096","1","Remain BRAVE.","Remain BRAVE.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2097","0","Read between the lines.","Read between the lines.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2098","0","Enjoy the show tonight.","Enjoy the show tonight.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
"2101","0","Think 'collective' attacks v.","Think 'collective' attacks v.","","true","q_post_body","Q Directive","Q Directive","false","KEEP_Q_DIRECTIVE","Q instructs or urges the reader directly."
