post_number,confidence,full_source_sentence,current_category,proposed_category,rejection_reason,source_type,recovered_canonical_sentence
"4799","GREEN","Cardinal Parolin said Mr. Pompeo’s article had caused “surprise” at the Vatican, because this visit to Rome by the secretary and the meetings with high officials at the Holy See had already been in the works and would have been a “more opportune” forum for airing grievances.","Church / clergy / worship; Holy / sacred metaphor","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4799","GREEN","He added that Mr. Pompeo’s choice to publish in First Things, a conservative Christian magazine that has called Francis a failure as Pope, also mattered.","Church / clergy / worship; Christianity / named Christian doctrine","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"4841","GREEN","In addition to all this, take up the shield of faith, with which you can extinguish all the flaming arrows of the evil one.","Quoted Bible/Scripture passage","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached image",""
"4868","GREEN","GOD BLESS AMERICA.","Prayer / blessing","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached image",""
"4941","GREEN","But this world, Mr. President, includes people, affections, institutions, faith, culture, traditions, and ideals: people and values that do not act like automatons, who do not obey like machines, because they are endowed with a soul and a heart, because they are tied together by a spiritual bond that draws its strength from above, from that God that our adversaries want to challenge, just as Lucifer did at the beginning of time with his “non serviam.”","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","Many people — as we well know — are annoyed by this reference to the clash between Good and Evil and the use of “apocalyptic” overtones, which according to them exasperates spirits and sharpens divisions.","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","No one, up until last February, would ever have thought that, in all of our cities, citizens would be arrested simply for wanting to walk down the street, to breathe, to want to keep their business open, to want to go to church on Sunday.","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","Yet now it is happening all over the world, even in picture-postcard Italy that many Americans consider to be a small enchanted country, with its ancient monuments, its churches, its charming cities, its characteristic villages.","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","And while the politicians are barricaded inside their palaces promulgating decrees like Persian satraps, businesses are failing, shops are closing, and people are prevented from living, traveling, working, and praying.","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","In Sacred Scripture, Saint Paul speaks to us of “the one who opposes” the manifestation of the mystery of iniquity, the kathékon (2 Thess 2:6–7).","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","In the religious sphere, this obstacle to evil is the Church, and in particular the papacy; in the political sphere, it is those who impede the establishment of the New World Order.","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","As is now clear, the one who occupies the Chair of Peter has betrayed his role from the very beginning in order to defend and promote the globalist ideology, supporting the agenda of the deep church, who chose him from its ranks.","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","Mr. President, you have clearly stated that you want to defend the nation — One Nation under God, fundamental liberties, and non-negotiable values that are denied and fought against today.","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","Your adversary is also our adversary: it is the Enemy of the human race, He who is “a murderer from the beginning” (Jn 8:44).","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","The alternative is to vote for a person who is manipulated by the deep state, gravely compromised by scandals and corruption, who will do to the United States what Jorge Mario Bergoglio is doing to the Church, Prime Minister Conte to Italy, President Macron to France, Prime Minister Sanchez to Spain, and so on.","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","The blackmailable nature of Joe Biden — just like that of the prelates of the Vatican’s “magic circle” — will expose him to be used unscrupulously, allowing illegitimate powers to interfere in both domestic politics as well as international balances.","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","This people, which for too long has endured the abuses of a hateful and tyrannical power, is rediscovering that it has a soul; it is understanding that it is not willing to exchange its freedom for the homogenization and cancellation of its identity; it is beginning to understand the value of familial and social ties, of the bonds of faith and culture that unite honest people.","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","The enemy has Satan on its side, He who only knows how to hate.","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","But on our side, we have the Lord Almighty, the God of armies arrayed for battle, and the Most Holy Virgin, who will crush the head of the ancient Serpent.","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","“If God is for us, who can be against us?” (Rom 8:31).","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","Place your trust in the Lord, strengthened by the words of the Apostle Paul: “I can do all things in Him who strengthens me” (Phil 4:13).","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","To be an instrument of Divine Providence is a great responsibility, for which you will certainly receive all the graces of state that you need, since they are being fervently implored for you by the many people who support you with their prayers.","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","With this heavenly hope and the assurance of my prayer for you, for the First Lady, and for your collaborators, with all my heart I send you my blessing.","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4941","GREEN","God bless the United States of America.","Quoted/embedded religious letter","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","OCR-normalized text from open-letter images attached to Q post",""
"4","YELLOW","Again, there are a lot more good people than bad so have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"5","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"6","YELLOW","Again, there are a lot more good people than bad so have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"9","YELLOW","At some point the great awakening will occur whereby these false local / national black leaders are corrupt and paid off to help keep the black pop poor and in need.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"67","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"70","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"70","YELLOW","The Great Awakening.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"76","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"76","YELLOW","The Great Awakening.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"88","YELLOW","The Great Awakening","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"111","YELLOW","POTUS is our savior.","Savior / saint / angel / miracle","Needs Context","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"114","YELLOW","US Military = savior of mankind.","Savior / saint / angel / miracle","Needs Context","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"115","YELLOW","JESUS FUCKING CHrisT!!","Religious name used as an exclamation/profanity","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"140","YELLOW","The Great Awakening.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"151","YELLOW","Have faith, Patriots.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"158","YELLOW","The Great Awakening.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"179","YELLOW",">Lord d R.","Ambiguous “Lord” title/name","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"182","YELLOW","What does the ""Owl"" represent to certain cults?","Cult / dogma / revelation","Needs Context","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"190","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"236","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"290","YELLOW","Thor’s Fight With the Giants, Mårten Eskil Winge, 1872.","Mythology / deity reference","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached image",""
"307","YELLOW","Our Father who art in heaven, Hallowed be thy name.","Soul / spirit / heaven / hell","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"307","YELLOW","Thy will be done on earth as it is in heaven.","Soul / spirit / heaven / hell","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"310","YELLOW","The Great Awakening.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"315","YELLOW","The Great Awakening.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Quoted/referenced post shown inside Q drop",""
"316","YELLOW","The Great Awakening.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"317","YELLOW","The ones who showed the WH Christmas photos?","Religious holiday / observance","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"331","YELLOW","Maybe all (((these))) wives are there own high priestess cult…that where we’ll see the symbolism…the ""slip ups""","Cult / dogma / revelation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"336","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"337","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"345","YELLOW","They all belong to the same sick cult/club.","Cult / dogma / revelation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"365","YELLOW","“The Great Awakening”","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"409","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"430","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"437","YELLOW","Just imagine North Korea like a James Bond film, their own little bit of hell, can you imagine with the cash they have stole what they could have built on NK paychecks (they work or die, sort of free)","Soul / spirit / heaven / hell","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"457","YELLOW","Merry Christmas Q!","Religious holiday / observance","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"458","YELLOW","Thank you all for your trust, faith, and patriotism.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"474","YELLOW","THE GREAT AWAKENING.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"521","YELLOW","Have FAITH - WE ARE IN CONTROL.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"521","YELLOW","HAVE FAITH.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"543","YELLOW","THE GREAT AWAKENING.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"556","YELLOW","Have FAITH, Patriot.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"570","YELLOW","The Great Awakening.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"572","YELLOW","THE GREAT AWAKENING.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"666","YELLOW","FOLLOW THE LIGHT.","Biblical or spiritual idiom","Statements/Headings — idiom","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"667","YELLOW","FOLLOW THE LIGHT.","Biblical or spiritual idiom","Statements/Headings — idiom","NOT RELIGIOUS — no religious referent in the sentence","Quoted/referenced post shown inside Q drop",""
"668","YELLOW","HAVE FAITH.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"677","YELLOW","a world where anyone, anywhere may express his or her beliefs, no matter how singular, without fear of being coerced into silence or conformity.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Quoted/referenced post shown inside Q drop",""
"690","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"786","YELLOW","The Great Awakening.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"855","YELLOW","HELL on earth - HRC victory.","Soul / spirit / heaven / hell","Statements/Headings — idiom","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"984","YELLOW","How was your easter Q?","Religious holiday / observance","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1000","YELLOW","Why is Epstein spending $29mm to bury the tunnels underneath is temple on Epstein Island?","Masonic / temple / shrine-like place","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1052","YELLOW","Your trust & faith in us is enough.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"1085","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"1086","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Quoted/referenced post shown inside Q drop",""
"1101","YELLOW",">>XMAS IN DC Who is arranging the PRIVATE meetings?","Religious holiday used as shorthand/date","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1102","YELLOW",">>XMAS IN DC Who is arranging the PRIVATE meetings?","Religious holiday used as shorthand/date","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1106","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"1114","YELLOW","This provides the validation necessary for the public to believe The Great Awakening is legit.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — no religious referent in the sentence","Quoted/referenced post shown inside Q drop",""
"1245","YELLOW","The Great Awakening.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"1266","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"1267","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Quoted/referenced post shown inside Q drop",""
"1269","YELLOW","THE GREAT AWAKENING.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"1296","YELLOW","Personal thank you to the BO, Bakers, and Autists/Anons who continually dedicate their time and energy to the GREAT AWAKENING.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"1297","YELLOW","Personal thank you to the BO, Bakers, and Autists/Anons who continually dedicate their time and energy to the GREAT AWAKENING.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — no religious referent in the sentence","Quoted/referenced post shown inside Q drop",""
"1390","YELLOW","thank you for your service to the great awakening baker!","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — no religious referent in the sentence","Quoted/referenced post shown inside Q drop",""
"1483","YELLOW","What the hell is Trump waiting for?!","Soul / spirit / heaven / hell","Statements/Headings — idiom","NOT RELIGIOUS — borrowed vocabulary, not about religion","Quoted/referenced post shown inside Q drop",""
"1488","YELLOW","Q, if you confirm proofs, then those on twatter, lurkers, and even those with little to no knowledge of the GREAT AWAKENING will pay attention moar and add validity to the proofs.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — no religious referent in the sentence","Quoted/referenced post shown inside Q drop",""
"1488","YELLOW","THANK YOU FOR YOUR SERVICE TO THE GREAT AWAKENING","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — no religious referent in the sentence","Quoted/referenced post shown inside Q drop",""
"1489","YELLOW","GREAT AWAKENING.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"1500","YELLOW","POTUS in good spirits today.","Soul / spirit / heaven / hell; Spirit language used idiomatically","Statements/Headings — idiom","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"1501","YELLOW","POTUS in good spirits today.","Soul / spirit / heaven / hell; Spirit language used idiomatically","Statements/Headings — idiom","NOT RELIGIOUS — borrowed vocabulary, not about religion","Quoted/referenced post shown inside Q drop",""
"1520","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"1521","YELLOW","Monday docs should start flowing w/ plan by Wed morning or hell to pay ('not going to be pretty') ~ we can hold in contempt ~ we can impeach ~thinks we r getting close 2 there!","Soul / spirit / heaven / hell","Statements/Headings — idiom","NOT RELIGIOUS — borrowed vocabulary, not about religion","Quoted/referenced post shown inside Q drop",""
"1521","YELLOW","DO NOT FEAR ~ STAND UNITED and STRONG!","Biblical or spiritual idiom","Statements/Headings — idiom","NOT RELIGIOUS — no religious referent in the sentence","Quoted/referenced post shown inside Q drop",""
"1547","YELLOW","proper revelation of nature of the moon and other bodies in our solar system Undiscovered stars learned.","Cult / dogma / revelation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1626","YELLOW","These people are corrupt beyond belief.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"1627","YELLOW","Fucking hell…","Soul / spirit / heaven / hell","Statements/Headings — idiom","NOT RELIGIOUS — borrowed vocabulary, not about religion","Quoted/referenced post shown inside Q drop",""
"1644","YELLOW","Do not be afraid.","Biblical or spiritual idiom","Statements/Headings — idiom","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"1698","YELLOW","I [name] do solemnly swear (or affirm) that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter.","Faith / belief; Faith language used in a civic oath","Statements/Headings — secular encouragement","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"1699","YELLOW","I [name] do solemnly swear (or affirm) that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter.","Faith / belief; Faith language used in a civic oath","Statements/Headings — secular encouragement","NOT RELIGIOUS — no religious referent in the sentence","Quoted/referenced post shown inside Q drop",""
"1744","YELLOW","Merry Christmas.","Religious holiday / observance","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1771","YELLOW","Presenting OUR work in a way to imply WE are some sort of cult, shows the WORLD how corrupt the MAINSTREAM MEDIA has become.","Cult / dogma / revelation","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1786","YELLOW","The Great Awakening.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"1792","YELLOW","Fear not.","Biblical or spiritual idiom","Statements/Headings — idiom","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"1887","YELLOW","Why was the Hussein admin breaking down admin by faith?","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"1904","YELLOW","Description: Guatemalan Silver Charm Necklace, 1980s Long Wedding Necklace with MILAGROS, Metal Beads, Cowgirl Southwest, First Peoples 30"" plus large coin w charms pendant ( 76.2cm ) The pendant is 5"" long x 2 1/2""wide ( 12.7cm x 6.35cm ) There are beads and many animal dangles hanging off the double chain strands, the charms are called MILAGROS Lion, duck, quetzal bird, Swallow bird, Deer, Fish and goddess( center bottom ) The necklace and dangles are all silver color metal and most are in excellent condition and actually, still shiny, Purchased in 1990s in Gallup New Mexico at a pawn shop where I was attending the Inter-Tribal Indian festival I was told that this was a Guatemalan Wedding necklace. ????","Mythology / deities","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1904","YELLOW","The word “Milagro” means “miracle”or Offering( Exvotos).","Savior / saint / angel / miracle","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1904","YELLOW","They are also carried for protection and good luck and thanks to Saints and Their animals.","Savior / saint / angel / miracle","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Quoted/referenced post shown inside Q drop",""
"1932","YELLOW","The Great Awakening.","Great Awakening / ascension; Awake / awakening language","Religiously Derived Language / Historical Religious Allusion","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"1950","YELLOW","Sanctuary against criminal prosecution?","Holy / sacred metaphor","Needs Context","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"2032","YELLOW",": a metaphorical description of a situation in which beliefs are amplified or reinforced by communication and repetition inside a closed system?","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"2049","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Q post body",""
"2050","YELLOW","Have faith.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Quoted/referenced post shown inside Q drop",""
"2081","YELLOW","An upside down cross….","Cross symbolism","Religion & Spirituality (source-typed)","NOT VERBATIM — no canonical sentence recoverable (image / OCR / quoted-only text)","Text visible in attached image",""
"2148","YELLOW","WE WILL NEVER FORGIVE!","Grace / mercy / sin / righteousness","Needs Context","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"2150","YELLOW","We Will Never FORGIVE!","Grace / mercy / sin / righteousness","Needs Context","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"2292","YELLOW","Have faith, Patriots.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — no religious referent in the sentence","Q post body",""
"2305","YELLOW","Perhaps more than any other, it’s his philosophy — which melded countercultural utopianism, a rancher’s skepticism toward government and a futurist’s faith in the virtual world — that shaped the industry.","Faith / belief","Statements/Headings — secular encouragement","NOT RELIGIOUS — borrowed vocabulary, not about religion","Quoted/referenced post shown inside Q drop",""
