Two layers,Spans,What it is,Why you are seeing it
2938,claim + prediction,What other 'anchors' were provided to ,
2938,claim + prediction, in order to gain the warrant?,
2940,request + theme,Anon,
2954,claim + theme,The Great Awakening,
2955,claim + theme,Anon,
2958,question + request,Define 'backchannel'.,
2971,question + request,Define 'evidence'.,
2971,claim + question,PROOF = EVIDENCE?,
2971,question + request,Define 'brainwashing'.,
2973,claim + theme,pedophiles,
2982,claim + theme,FAKE NEWS,
2982,claim + theme,THE GREAT AWAKENING,
2984,claim + theme,SIGINT,
2984,claim + theme,SIGINT,
2987,request + theme,WWG1WGA,
2988,question + request,Define ',
2988,question + request,' ,
2988,question + request,.,
2988,question + request,Define ',
2988,question + request,'.,
2989,question + request,Define 'Black Budget'.,
299,claim + theme, (cult leaders)(church)(P),
2994,claim + theme,RELIGION VS RELIGION,
3,request + theme, bless,
3002,request + theme,WWG1WGA,
3007,question + request,Define 'Protection'.,
3011,prediction + theme,Indictments,
3012,claim + theme,THE GREAT AWAKENING,
3013,claim + theme,Anons,
3014,question + theme,Anons,
3014,question + theme,FAKE NEWS,
3017,claim + theme,The Great Awakening,
3018,claim + theme,The Great Awakening,
3020,question + request,Define ',
3020,question + request + theme,Surveillance,
3020,question + request, state'.,
3020,claim + theme,surveillance,
3020,claim + theme,surveillance,
3022,question + request,Define 'Spook'.,
3022,question + request,Define 'Shadow'.,
3028,question + theme,indictments,
3028,question + theme,impeach,
3028,question + theme,DECLAS,
3028,question + theme,TALKING POINTS,
3028,question + theme,TALKING POINTS,
3030,request + theme,WWG1WGA,
3038,claim + theme,"""Free thought"" is a philosophical viewpoint which holds that positions regarding truth should be formed on the basis of ",
3038,request + theme,WWG1WGA,
3041,prediction + theme,unsealing,
3041,prediction + theme,indictments,
3045,question + theme,CHAIN OF COMMAND,
3050,claim + theme,sex trafficking,
3050,request + theme,Pray for,
3056,claim + theme,Anons,
3056,request + theme, bless,
3060,claim + theme,indictments,
3063,prediction + theme,DECLASSIFIED,
3077,claim + theme,FAKE NEWS,
310,claim + theme,The Great Awakening,
311,question + request,Define.,
3126,claim + theme,Cold War,
3135,claim + theme,THIS GOES FAR BEYOND SPIRIT COOKING MODELS.,
3136,prediction + theme,unsealed,
314,request + theme,"Godspeed, ",
314,request + theme,.,
3140,claim + theme, island,
3140,claim + theme, dungeon (beneath the temple).,
3141,request + theme,Anon,
3155,request + theme,Anons,
316,claim + theme,The Great Awakening,
3162,question + theme,Sanctions,
3162,question + theme,Anons,
3163,request + theme,WWG1WGA,
3167,question + theme,censoring,
3170,request + theme,WWG1WGA,
3177,question + theme,SPECIAL COUNSEL,
3178,claim + theme,THE GREAT AWAKENING,
3182,request + theme,Anons,
3186,claim + theme,FAKE NEWS,
32,prediction + theme,MSM,
3208,claim + theme,Anon,
3225,question + theme,DECLAS,
3227,question + theme,Indictment,
323,request + theme, bless,
3259,request + theme,WWG1WGA,
3263,request + theme,WWG1WGA,
3264,request + theme,WWG1WGA,
3288,request + theme,WWG1WGA,
3289,request + theme,WWG1WGA,
33,request + theme, bless,
3304,claim + theme,FAKE NEWS,
3306,claim + theme,FAKE NEWS,
3307,question + request,Define ‘deflection’.,
3309,question + request,Define ‘Bait’.,
3309,question + theme,FAKE NEWS,
3312,question + theme,censorship,
3312,claim + theme,FAKE NEWS,
3316,question + theme,unmasking,
3321,claim + theme,Anons,
3325,question + request,Define ',
3325,question + request,'.,
3326,request + theme,WWG1WGA,
3328,question + theme,DECLAS,
3328,question + theme, report,
3328,question + theme, report,
3330,claim + theme,Chain of Command,
3334,prediction + theme,FAKE NEWS,
334,request + theme,Merry Christmas.,
3340,prediction + theme,DECLAS,
3347,question + theme,DECLAS,
3352,request + theme,FOR ,
3352,request + theme, AND COUNTRY.,
3354,claim + theme, WINS.,
3359,request + theme,WWG1WGA,
3363,claim + theme,FAKE NEWS,
337,claim + theme,fake news,
3385,prediction + theme,unsealing,
3391,claim + theme,FAKE NEWS,
3396,question + theme,Who posted 'internal security cam' pics (Temple)(,
3396,question + theme,)?,
3399,question + theme,What does an 'OWL' symbolize (dark religion)?,
34,claim + theme,riots,
34,claim + theme,extradition,
34,prediction + theme,fake news,
3405,claim + theme,FAKE NEWS,
3409,question + theme,MSM,
341,claim + theme,administration,
341,claim + theme,administration,
3413,claim + theme,Anons,
3414,claim + theme,Anons,
3425,claim + theme,Anons,
3430,claim + theme,THE GREAT AWAKENING,
3432,claim + theme, WINS.,
3433,claim + theme,FAKE NEWS,
3436,question + request,Define 'Projection'.,
3438,request + theme,WWG1WGA,
344,claim + theme,They all belong to the same sick cult/club.,
3440,claim + theme,Anons,
3447,claim + theme,THE GREAT AWAKENING,
3454,claim + theme,"""A colorful building that some news reports have called the ""temple"" was actually a gym when ",
3454,claim + theme," worked out when he was on the island, Scully said, noting in an interview with ",
3454,claim + theme," that the gym had a memorable feature – a massive framed photo of a topless woman.""",
3458,question + theme,DECLAS,
3458,question + theme,FAKE NEWS,
3458,question + theme,DECLAS,
346,request + theme,"Godspeed, ",
346,request + theme,.,
3465,request + theme,WWG1WGA,
3477,claim + theme,Anon,
3486,claim + theme,DECLAS,
3488,claim + theme,DECLAS,
349,request + theme, bless,
3493,claim + theme, told us it was just a 'gym' inside of the 'TEMPLE'……,
35,request + theme,pray for,
35,prediction + request,For ,
35,prediction + request," so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal li",
350,claim + theme,MSM,
3501,question + request,Define 'False Flag'.,
3503,request + theme, bless,
3504,question + theme,Anons,
3507,claim + theme,sentence,
351,request + theme,"Godspeed, ",
351,request + theme,.,
3522,request + theme,WWG1WGA,
3526,request + theme,WWG1WGA,
3532,question + theme,plea deal,
3533,claim + theme,impeachment,
3533,claim + theme,FAKE NEWS,
3534,question + theme,human trafficking,
3535,claim + theme,Anons,
354,claim + theme,MSM,
3540,question + theme,MSM,
3546,request + theme,WWG1WGA,
3563,question + theme,MSM,
3563,claim + theme,public opinion,
3565,prediction + theme,It's going to be BIBLICAL.,
3582,question + theme,MSM,
3586,question + request,Define ‘black op’ ,
3586,question + theme,Whistleblower,
3586,question + request,Define ‘black op’ ,
3587,prediction + theme,Indictments,
3588,question + theme,DECLAS,
3588,claim + theme,SIGINT,
3588,question + theme,FAKE NEWS,
3588,claim + theme,THE GREAT AWAKENING,
3593,request + theme,armor of ,
3593,request + theme,armor of ,
3594,request + theme,armor of ,
3594,request + theme,armor of ,
3595,claim + theme,HUMINT,
3597,question + theme,anons,
36,question + theme,slush fund,
36,question + theme,What if the wizards and warlocks tipped off a local reporter as to the supposed unscheduled stop?,
3600,claim + theme,There is no escaping ,
3600,claim + theme,.,
3602,question + theme,SIGINT,
3607,question + request,Define 'Projection'.,
3607,claim + theme,THE GREAT AWAKENING,
3608,claim + theme,public opinion,
3608,claim + theme,public opinion,
3610,claim + theme,public opinion,
3610,claim + theme,public opinion,
3613,claim + theme,Divided by religion.,
3616,claim + theme,THE GREAT AWAKENING,
362,request + theme,"Godspeed, ",
362,request + theme,.,
3622,claim + theme,The Great Awakening,
3624,prediction + theme,It's going to be BIBLICAL!,
3624,claim + theme,THE GREAT AWAKENING,
3627,prediction + theme,Anon,
3630,request + theme,WWG1WGA,
3631,request + theme,WWG1WGA,
3645,request + theme,Anons,
3646,question + theme,Anons,
365,claim + theme,DECLAS_,
365,claim + theme,_,
365,request + theme,The Great Awakening,
3659,question + theme,Congressional hearing,
3662,claim + theme,THE GREAT AWAKENING,
3668,claim + theme,Public opinion,
3677,question + theme,FAKE NEWS,
3681,claim + theme,THE GREAT AWAKENING,
3682,request + theme,WWG1WGA,
3683,request + theme,Put on the full armor of ,
3683,request + theme,", so that you can take your stand against the devil’s schemes.",
3685,question + theme,Anons,
369,claim + theme,BISHOP (cult).,
3690,claim + theme,DECLAS,
37,request + theme,Fight the good fight.,
3702,question + theme,impeachment,
3703,question + theme,Anons,
3707,claim + theme,"Though, nothing should ever replace '",
3707,claim + theme,' in 'Christmas'.,
3707,claim + theme,Anons,
3716,prediction + theme,indictment,
3717,prediction + theme,indictment,
3720,question + theme,impeachment,
3721,claim + theme,Divided by religion.,
3724,claim + theme,election interference,
3724,claim + theme,election interference,
3724,claim + theme,election interference,
3728,request + theme,Pray.,
3734,question + theme,Anons,
374,request + theme,Pray.,
3741,question + theme,impeachment,
3741,question + theme,impeachment,
3741,question + theme,IMPEACHMENT,
3742,question + theme,IMPEACHMENT,
3752,request + theme,Anons,
3764,claim + theme,National Security,
3770,question + theme,election interference,
3774,question + theme,impeachment,
3775,claim + theme,THE GREAT AWAKENING,
3781,request + theme,Anon,
3784,question + theme,declas,
3792,question + theme,FAKE NEWS,
3792,claim + theme,The Great Awakening,
3800,claim + theme,Anons,
3806,claim + theme,Impeachment,
3809,claim + theme,impeachment,
3809,question + theme,Bribery,
3815,claim + theme,THE GREAT AWAKENING,
3819,claim + theme,Anons,
382,claim + theme,SATAN has left the ,
382,claim + theme,.,
3835,question + theme,Impeachment,
3836,question + request,Define projection.,
3836,question + theme,National Security,
3838,claim + theme,>Religion,
3841,question + theme,investigation into,
3841,question + theme,investigation into,
3841,question + theme,election interference,
3841,question + theme,investigation into,
3842,question + theme,bribe,
3850,question + theme,Impeachment,
3850,question + theme,Impeachment,
3853,question + theme,impeachment,
3856,question + request,Define ,
3856,question + request,.,
3856,question + request,Define Evergreen ,
3857,question + theme,FAKE NEWS,
3858,claim + theme,Divided by religion.,
3869,question + request,Define 'superdelegates'.,
3879,request + theme,WWG1WGA,
388,question + request,Define CORRUPTION.,
3880,claim + theme,Anons,
3887,request + theme,"Finally, be strong in the Lord and in his mighty power.",
3889,request + theme,WWG1WGA,
3890,request + theme,Godspeed.,
3893,claim + theme,MSM,
3893,request + theme,WWG1WGA,
3896,question + theme,impeachment,
3896,claim + theme,MSM,
39,question + theme,administration,
3905,claim + theme,Divided by religion.,
3906,claim + theme,"""Free thought"" is a philosophical viewpoint which holds that positions regarding truth should be formed on the basis of ",
3906,request + theme,WWG1WGA,
3907,request + theme, BLESS,
3907,request + theme,WWG1WGA,
3911,question + request,Define propaganda.,
3915,question + theme,impeachment,
3915,question + theme,impeachment,
3915,question + theme,impeachment,
3915,question + theme,MSM,
3917,question + theme,Did you think 'spirit cooking' was just pretend?,
3920,question + request,Define 'Traitor'.,
3921,claim + theme,INDICTMENTS,
3927,request + theme,WWG1WGA,
3928,request + theme,WWG1WGA,
393,claim + theme,Board owner,
3930,request + theme,HAPPY GOOD FRIDAY!!!,
3932,prediction + theme,investigations into,
3935,request + theme,WWG1WGA,
3936,request + theme,WWG1WGA,
3938,request + theme,WWG1WGA,
3939,request + theme,WWG1WGA,
3940,request + theme,WWG1WGA,
3941,request + theme,WWG1WGA,
3942,request + theme,WWG1WGA,
3943,request + theme,WWG1WGA,
3944,request + theme,WWG1WGA,
3945,request + theme,WWG1WGA,
3946,request + theme,WWG1WGA,
3947,request + theme,WWG1WGA,
3948,request + theme,WWG1WGA,
3949,request + theme,WWG1WGA,
3950,request + theme, bless,
3959,claim + theme,MSM,
3981,request + theme,WWG1WGA,
3984,request + theme,WWG1WGA,
399,claim + theme,anons,
3990,question + theme,CHAIN OF COMMAND,
3990,question + theme,CHAIN OF COMMAND,
3990,question + theme,CHAIN OF COMMAND,
3990,question + theme,INDICTMENT,
3992,claim + theme,protests,
3992,claim + theme,FAKE NEWS,
3992,claim + theme,impeachment,
3993,prediction + theme,DECLASSIFIED,
4003,question + theme,covid,
4004,claim + theme,Anons,
4008,claim + theme,"This is best achieved when the political cause of the insurgency has strong appeal, manipulating religious, tribal or lo",
4014,question + theme,Vote-by-Mail,
4014,question + request,Define 'insurgency'.,
4021,request + theme,SIGINT,
4022,claim + theme,NATIONAL SECURITY,
4045,question + theme,NATIONAL SECURITY,
4045,question + theme,Impeachment,
4046,request + theme,WWG1WGA,
4047,request + theme,WWG1WGA,
4048,request + theme,For ,
4048,request + theme, and Country.,
4049,request + theme,WWG1WGA,
4050,claim + theme,censorship,
4050,request + theme,WWG1WGA,
4051,request + theme,WWG1WGA,
4052,request + theme,WWG1WGA,
4053,request + theme,WWG1WGA,
4055,request + theme,WWG1WGA,
4056,request + theme,WWG1WGA,
4057,request + theme,WWG1WGA,
4058,request + theme,WWG1WGA,
4060,request + theme,WWG1WGA,
4061,request + theme,WWG1WGA,
4062,request + theme,WWG1WGA,
4063,request + theme,WWG1WGA,
4063,claim + theme, WINS!,
4064,request + theme,WWG1WGA,
4067,request + theme,WWG1WGA,
4068,request + theme,WWG1WGA,
4069,request + theme,WWG1WGA,
4070,request + theme,WWG1WGA,
4071,request + theme,WWG1WGA,
4076,question + theme,VOTE-BY-MAIL,
4082,request + theme,WWG1WGA,
4088,question + theme,convicted,
4088,question + theme,lockdown,
409,claim + theme,Anon,
4094,question + theme,COVID,
4098,question + request,Define ',
4098,question + request,'.,
4101,question + theme,MSM,
4105,request + theme,MSM,
4113,request + theme,WWG1WGA,
4120,question + theme,COVID,
4120,question + theme,COVID,
4123,question + request,Define 'backchannel'.,
414,request + theme, bless,
4143,request + theme,Anons,
415,request + theme,"Godspeed, ",
415,request + theme,.,
4162,claim + theme,MSM,
4164,question + request,Define 'Shadow Government'.,
4171,claim + theme,COVID,
4171,claim + theme,COVID,
4171,question + theme,COVID,
4177,claim + theme,The Great Awakening,
4183,request + theme,WWG1WGA,
4184,request + theme,WWG1WGA,
4185,request + theme,WWG1WGA,
4186,request + theme,WWG1WGA,
4187,request + theme,WWG1WGA,
4188,request + theme,WWG1WGA,
4189,request + theme,WWG1WGA,
4190,request + theme,WWG1WGA,
4191,request + theme,WWG1WGA,
4192,request + theme,WWG1WGA,
4193,request + theme,WWG1WGA,
4194,request + theme,WWG1WGA,
4196,question + theme,declas,
4196,question + theme,declas,
4196,question + theme,subpoena,
4196,question + theme,MSM,
4196,question + theme,impeachment,
4196,question + theme,impeachment,
4196,question + theme,impeachment,
4196,question + theme,MSM,
4199,claim + theme,Anons,
4207,request + theme,Armor of ,
4207,request + theme,armor of ,
4207,request + theme,armor of ,
4219,question + theme,vote-by-mail,
4226,claim + theme,Anon,
4229,claim + theme,Anon,
4232,question + theme,unmask,
4245,question + theme,VOTE-BY-MAIL,
4247,question + theme,COVID,
4247,question + theme,COVID,
4247,question + theme,COVID,
425,question + request,Define Shutdown.,
4255,claim + request,Go.,
4255,claim + request,Go.,
4259,request + theme,WWG1WGA,
426,question + request,Define hostage.,
4260,request + theme,WWG1WGA,
4261,request + theme,WWG1WGA,
4262,request + theme,WWG1WGA,
4263,request + theme,WWG1WGA,
4264,request + theme,WWG1WGA,
4265,request + theme,WWG1WGA,
4266,request + theme,WWG1WGA,
4267,request + theme,WWG1WGA,
4268,request + theme,WWG1WGA,
4269,request + theme,WWG1WGA,
4270,request + theme,WWG1WGA,
4271,request + theme,WWG1WGA,
4272,request + theme,WWG1WGA,
4273,request + theme,WWG1WGA,
4274,request + theme,WWG1WGA,
4276,request + theme, bless,
4277,request + theme,WWG1WGA,
4281,question + theme,public opinion,
4282,question + theme,COVID,
4290,question + theme,MSM,
4290,question + theme,censoring,
4291,request + theme,WWG1WGA,
4293,claim + theme,subpoena,
4293,claim + theme,COVID,
4294,claim + theme,convicts,
4295,claim + theme,Religion v religion,
4298,request + theme,Ask and you shall receive.,
4299,claim + theme,unmasking,
4306,question + theme,vaccine,
4310,claim + theme,national security,
4310,claim + theme,Ambassador,
4310,question + theme,DECLAS,
4310,question + theme,SPECIAL COUNSEL,
4310,question + theme,IMPEACHMENT,
4310,question + theme,LOCKDOWN,
4310,question + theme,VOTE-BY-MAIL,
4310,claim + theme,IMPEACHMENT,
4337,claim + theme,COVID,
4337,question + theme,COVID,
4337,question + theme,COVID,
434,request + theme, bless,
4348,claim + theme,narrative control,
4352,claim + theme,"This is best achieved when the political cause of the insurgency has strong appeal, manipulating religious, tribal or lo",
4352,question + request,Define 'stand down' ,
4352,question + request, order.,
4352,question + request,Define 'organized' group.,
4361,request + theme, save ,
4361,request + theme,.,
4374,request + theme,Be strong in the Lord.,
4380,question + theme,riots,
4380,question + theme,vote-by-mail,
4383,request + theme,Anons,
4385,claim + theme,riots,
4385,claim + theme,indictments,
4387,request + theme, BLESS,
4395,claim + theme,riots,
4395,claim + theme,indictments,
4396,claim + theme, wins.,
4397,request + theme,Pray for,
4397,request + theme,Pray for,
4397,request + theme,Pray for,
4398,claim + theme,protestors,
44,request + theme, bless,
4403,question + theme,protestors,
4404,question + theme,protestors,
4408,claim + theme,The social unrest comes to a head in the violent political upheaval which sweeps away the traditionally and hierarchical,
4408,claim + theme,).,
4413,request + theme,FOR ,
4413,request + theme, AND COUNTRY.,
4414,claim + prediction,Central communications blackout ,
4414,claim + theme,riot,
4415,claim + theme,MSM,
4418,prediction + theme,Biblical.,
4429,request + theme,Armor of ,
4429,request + theme,armor of ,
4429,request + theme,armor of ,
4429,claim + theme,The Great Awakening,
443,request + theme,"Godspeed, ",
443,request + theme,.,
4438,claim + theme,Anons,
4446,question + theme,vote-by-mail,
4450,question + theme,Anons,
4454,claim + question,virus OR ELECTION?,
4454,question + theme,VOTE-BY-MAIL,
4455,question + theme,vote-by-mail,
4456,claim + theme,subpoena,
4457,question + theme,DECLAS,
4461,claim + theme, WINS.,
4463,request + theme,Put on the full armor of ,
4463,request + theme, so that you can take your stand against the devil's schemes.,
4465,prediction + theme,Biblical Times.,
4466,request + theme,When in the Course of human events it becomes necessary for one people to dissolve the political bands which have connec,
4466,request + theme," entitle them, a decent respect to the opinions of mankind requires that they should declare the causes which impel them",
4469,claim + theme,Old Glory knows not what color skin carries her - only that for which it stands - one Nation under ,
4469,claim + theme,", indivisible, with Liberty and JUSTICE FOR ALL.",
4476,claim + theme,protests,
4476,claim + question,THEN V NOW,
4477,question + theme,vote-by-mail,
4489,claim + theme,bribes,
4489,claim + theme,protests,
4491,request + theme,Do not let the media control you [incite division and hatred for one another by use of propaganda and fear mongering [do,
4492,question + theme,COVID,
4492,question + theme,COVID,
4494,question + theme,rigged election,
4496,request + theme,WWG1WGA,
4517,request + theme,WWG1WGA,
4518,request + theme,WWG1WGA,
4519,request + theme,WWG1WGA,
4523,claim + theme,Praying for a swift recovery to your back ,
4523,request + theme,WWG1WGA,
4526,claim + theme,censorship,
4530,request + theme, bless,
4530,request + theme,WWG1WGA,
4531,request + theme,WWG1WGA,
4535,claim + theme,Divided by religion.,
4539,question + theme,whistleblower,
4541,prediction + theme,riots,
4541,prediction + theme,pandemic,
4541,claim + theme,conviction,
4541,claim + theme,spiritual battle,
4542,claim + theme,Child Abuse,
4542,claim + theme,mainstream media,
4544,claim + theme,Heaven knows how to put a proper price upon its goods; and it would be strange indeed if so celestial an article as FREE,
4545,claim + theme,mainstream media,
4548,claim + theme,coronavirus,
4551,question + theme,election fraud,
4553,question + request,Define 'Fascism'.,
4553,question + request,Define ',
4553,question + request + theme,Censorship,
4553,question + request,'.,
4553,question + request,Define 'Narrative'.,
4553,question + request,Define 'Projection'.,
4553,question + request,Define 'Psychological Projection'.,
4553,question + request,Define 'Narcissist'.,
4553,question + request + theme,Define 'Dogma'.,
4553,question + request,Define 'Aggression'.,
4553,question + request,Define 'Suppression'.,
4553,question + request,Define 'Realism'.,
4553,claim + theme,Censorship,
4553,claim + theme,Censorship,
4553,claim + theme,Censorship,
4556,claim + theme,Non-blue checkmarks then defend and promote attacker(s) ,
4556,claim + theme, viewpoint(s) ,
4556,claim + theme, to instill echo_chamber wall-to-wall amplified narrative for each designated subject.,
4557,prediction + theme,Biblical.,
4558,request + theme,WWG1WGA,
4559,claim + theme,There was a time when these ,
4559,claim + theme,", ONE NATION UNDER ",
4559,claim + theme,", was UNITED.",
457,request + theme, bless,
4571,request + theme,WWG1WGA,
458,request + theme,PRAY for,
4592,question + theme,riots,
4593,request + theme,WWG1WGA,
46,question + theme,MSM,
4602,claim + theme,"""Free thought"" is a philosophical viewpoint which holds that positions regarding truth should be formed on the basis of ",
4608,request + theme, Bless,
4609,claim + theme,Anons,
4616,request + theme,WWG1WGA,
4620,claim + theme,DECLAS,
4620,claim + theme,Impeachment,
4620,claim + theme,Eliminate ability to find peace – strength in time of need ,
4620,request + theme,censorship,
4622,question + theme,censored,
4627,question + theme,riots,
4631,claim + theme,Republican activist and Christian Coalition leader ,
4631,claim + theme, admitted to an incestuous relationship with his step daughter.,
4632,claim + theme,Republican city councilman ,
4632,claim + theme,", who is described as a “good military man” and “church goer,” was convicted of repeatedly having sex with an 11-year-ol",
4633,claim + theme,"Republican benefactor of conservative Christian groups, Richard A. Dasen Sr.,",
4635,claim + theme,Then: ,
4635,claim + theme, carried out unchecked street violence against Jews and ,
4635,claim + theme, opponents,
4635,question + theme,rioters,
4635,claim + theme,censorship,
4637,request + theme,WWG1WGA,
4640,claim + theme,whistleblower,
4640,claim + theme,Ballot harvest,
4641,request + theme,FOR ,
4641,request + theme, AND COUNTRY.,
4643,request + theme, bless,
4644,claim + theme,Media blackout,
4645,question + theme,MSM,
4648,request + theme, bless,
4656,claim + theme,an apostate from a religious faith.,
4672,claim + theme,protests,
4672,claim + theme,protests,
4685,question + request,Define 'indoctrinate'.,
4688,request + theme,ballot harvest,
4688,request + theme,administration,
4688,claim + theme,administration,
4688,claim + theme,Pandemic,
4688,claim + theme,Isolate faithful from each other _remove ability to attend Church ,
4688,claim + theme,censorship,
4699,question + theme,riots,
4722,claim + theme,Riots,
4722,prediction + theme,riots,
473,request + theme, bless,
4738,question + theme,lockdown,
4738,question + theme,riots,
4738,claim + theme,Impeachment,
4739,request + theme,armor of ,
4739,claim + request,Amen.,
474,claim + theme,THE GREAT AWAKENING,
4741,question + theme,mainstream media,
4742,question + theme,sex trafficking,
4748,question + theme,Why does the media pit religion v religion?,
4760,claim + theme,Anons,
4777,question + theme,Conflict of interest,
479,question + request,List the leadership in ,
479,question + request,.,
4794,claim + theme,declassification,
4799,question + theme,When does a Church become a playground?,
4802,claim + theme,Fake news,
4802,claim + theme,Impeachment,
4802,question + theme,DECLAS,
4802,question + theme,censorship,
481,request + theme, BLESS,
4814,question + theme,censored,
4817,claim + theme,Impeachment,
4821,question + theme,BRIBES,
4822,question + theme,BRIBES,
4831,question + theme,subpoena,
484,question + theme,Who are the ,
484,question + theme,?,
4845,claim + theme,bribes,
4856,claim + theme,FAKE NEWS,
4861,request + theme,Anon,
4872,question + theme,impeached,
4873,claim + theme,Anons,
4878,claim + theme,Anon,
488,request + theme, bless,
4880,request + theme,WWG1WGA,
4881,claim + theme,Anons,
4881,claim + theme,Anons,
4891,claim + question,Why would H.,
4893,claim + theme,convicted,
490,request + theme, bless,
4923,request + theme, bless,
4958,question + request,Define 'Plant'.,
4959,question + theme,Bribes,
4961,claim + theme,surveillance,
4963,prediction + theme,Ascension.,
4964,request + theme,Be aware of false prophets.,
4966,prediction + theme,Ascension.,
5,question + theme,indictment,
51,request + theme, bless,
510,claim + theme,DEFCON,
511,claim + theme,DEFCON,
513,request + theme,FAKE NEWS,
518,claim + theme,qresearch,
521,question + theme,Chain Of Command,
526,claim + theme,"Mezvinsky was born in Philadelphia, ",
526,claim + theme,His parents are both former Democratic members of the ,
526,claim + theme,conviction,
529,prediction + theme,MSM,
529,claim + theme,MSM,
529,claim + theme,MSM,
53,question + request,List out all who have foundations.,
531,claim + theme,anon,
532,claim + theme,MSM,
533,request + theme, BLESS,
533,request + theme, BLESS,
54,request + theme,declares the ,
543,claim + theme,THE GREAT AWAKENING,
55,request + theme, bless,
56,claim + theme,The ,
56,claim + theme," campaign is attempting once again to sweep important questions under the rug about top aide Huma Abedin, her family tie",
56,claim + theme," and to Saudi Arabia, and her role in the ballooning ",
56,claim + theme, email scandal.,
561,claim + theme,MSM,
561,prediction + theme,JUDGEMENT DAY.,
563,claim + theme,THEY WANT RELIGIOUS WARS,
564,claim + theme,MSM,
564,claim + theme,MSM,
57,claim + theme,Senator ,
57,claim + theme, and others roundly criticized Rep.,
57,claim + theme, in 2012 when she and four members of the ,
57,claim + theme, and the ,
57,claim + theme, cited Ms.,
57,claim + theme, in letters sent to the Inspectors General of the ,
57,claim + theme,", ",
57,claim + theme,", ",
57,claim + theme,", ",
57,claim + theme,", and the ",
57,claim + theme,", warning about ",
57,claim + theme, infiltration of the ,
57,claim + theme, government.,
570,claim + theme,MSM,
570,claim + theme,amen,
570,claim + theme,electoral college,
570,claim + theme,MSM,
570,claim + theme,censoring,
570,claim + theme,The Great Awakening,
571,claim + theme,MSM,
572,claim + theme,THE GREAT AWAKENING,
586,question + theme,assassination,
586,question + theme,special counsel,
586,claim + theme,human trafficking,
587,request + theme,PRAY.,
59,question + theme,MSM,
59,request + theme,MSM,
59,question + theme,MSM,
6,question + theme,indictment,
603,request + theme, BLESS,
605,claim + theme,censorship,
611,claim + theme, be with you and your family during this difficult time.,
617,claim + theme,MSM,
64,request + theme, bless,
641,question + request,Define heel.,
643,claim + theme,Narrative shift,
67,question + theme,fake news,
67,question + theme,bribes,
67,question + theme,Slush fund,
67,claim + theme,The council of Wizards & Warlocks cannot be defeated.,
693,question + theme,big pharma,
693,prediction + theme,chain of command,
7,claim + theme,cabinet,
7,claim + theme,indicting,
7,claim + theme,indicting,
7,claim + theme,cabinet,
70,question + theme,bribed,
70,request + theme, bless,
70,claim + theme,The Great Awakening,
71,question + theme,Who is the ,
71,question + theme,?,
71,question + request,Define cash laundering.,
713,request + theme,PRAY.,
72,claim + theme,Anon,
722,question + theme,investigation into,
732,question + request,Define ,
732,question + request + theme,money laundering,
732,question + request,.,
732,question + request,Define the word 'Traitor'.,
737,request + theme,Godspeed.,
74,request + theme, bless,
750,claim + theme,big pharma,
76,question + theme,bribed,
76,request + theme, bless,
76,claim + theme,The Great Awakening,
766,claim + theme,Anon,
767,request + theme, BLESS,
768,question + theme,MSM,
768,request + theme,MSM,
77,question + theme,Who is the ,
77,question + theme,?,
77,question + request,Define cash laundering.,
777,question + theme,Big Pharma,
779,claim + theme,SLUSH FUND,
78,request + theme, bless,
780,claim + theme,indictment,
780,claim + theme,indictment,
786,claim + theme,The Great Awakening,
791,request + theme,"For I know the plans I have for you,” declares the ",
791,request + theme,", “plans to prosper you and not to harm you, plans to give you hope and a future.",
793,request + theme,GO WITH ,
793,request + theme,.,
8,question + theme,", ",
8,question + theme,", or child?",
80,claim + theme,Wizards & Warlocks.,
81,claim + theme,Wizards & Warlocks.,
818,claim + theme,MSM,
828,request + theme,censorship,
830,question + theme,censorship,
831,claim + theme,Sentence,
832,claim + theme,MSM,
834,question + theme, report,
834,claim + theme,MSM,
836,claim + theme,Censorship,
837,request + theme, BLESS,
839,question + theme,MSM,
839,claim + theme,Censorship,
861,request + theme,Anon,
862,question + theme,MSM,
877,claim + theme,MSM,
88,claim + theme,MSM,
88,claim + theme,The Great Awakening,
886,prediction + theme,MSM,
887,claim + theme,DEFCON,
89,request + theme,Anon,
89,claim + theme,investigation into,
891,request + theme,MSM,
895,claim + theme,censorship,
9,prediction + theme,the great awakening,
9,claim + theme,MSM,
902,request + theme,Godspeed.,
919,request + theme,FAKE NEWS,
924,claim + theme,The spirit cooking discovery is bigger than you know.,
925,claim + theme,Good vs Evil,
927,claim + theme,administration,
932,claim + theme,MSM,
937,request + theme, bless,
942,claim + theme,assassination,
95,request + theme, bless,
953,claim + theme,Impeach,
959,claim + theme,MSM,
959,claim + theme,algorithm,
96,request + theme, bless,
964,request + theme,COLD WAR,
964,claim + theme,censorship,
964,claim + theme,Election FRAUD,
964,claim + theme,NATIONAL SECURITY,
964,claim + theme,NATIONAL SECURITY,
97,question + request,Define.,
97,question + request,Define ,
97,claim + question + request,hostage.,
97,question + request,Define leverage.,
972,prediction + theme,MSM,
98,request + theme,sentence,
980,question + theme,MSM,
988,claim + theme, report,
99,question + request,Define.,
992,request + theme,WWG1WGA,
