How it was read,Post,Sentence #,Sheet,Text,Detail
"The Final Category cell was empty, so the SHEET decided the section",4620,20,Q Claims,C19 _stage 1: Inform POTUS [intel + CDC + WHO + S_advisor(s)] _nothing to fear _do not close travel _do nothing [the political ‘set up’],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,24,Q Claims,C19 _stage 5: Eliminate / censor any opposing views [anti-narrative],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2469,3,Q Claims,CA shooting & Fires [same location(s)] — LOOK HERE,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4782,5,Q Claims,CF 'donated' funds [primary influx _foreign][under 'legal' payment(s)] to engaged law firm [Dla Piper],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",785,6,Q Claims,CHATTER^^^^^^^^,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2299,3,Q Claims,Check_in_Z[des_TFC]381,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3348,3,Q Claims,China_non_public,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2663,14,Q Claims,Clandestine Black OPs > zero affiliation (non_stick),assumed claims
"The Final Category cell was empty, so the SHEET decided the section",570,37,Q Claims,Closure of US MIL installations WW [Germany 1st],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2663,9,Q Claims,Cocktail regimen 4x daily brain intercept [administered by           ],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1838,1,Q Claims,Code: AB-aKd&Egh281Q,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4489,16,Q Claims,BLM (4)-year push: BIDEN negative news ELIM re: SEXUAL ASSAULT CLAIM re: Tara Reade [preserve #MeToo future [R] attack],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2681,5,Q Claims,-Blockade removal ['Scaramucci' model],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4338,4,Q Claims,43% of 100% [nursing home] [death],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1343,7,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1496,2,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1822,10,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1935,9,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2524,3,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2683,5,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3934,3,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4310,31,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4317,4,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4330,3,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4489,24,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,27,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4621,3,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4657,2,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,2,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4722,2,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4773,2,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4774,2,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4782,2,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4817,2,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4893,4,Q Claims,1.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4256,11,Q Claims,10,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,45,Q Claims,10.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,20,Q Claims,10.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1464,2,Q Claims,100,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",896,1,Q Claims,100%,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,47,Q Claims,11.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,22,Q Claims,11.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1927,11,Q Claims,12.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,49,Q Claims,12.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,24,Q Claims,12.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",417,5,Q Claims,12/19,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",365,10,Q Claims,12/7 – 12/17.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3551,3,Q Claims,1-2H insert_key,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,51,Q Claims,13.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,26,Q Claims,13.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,53,Q Claims,14.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,28,Q Claims,14.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,55,Q Claims,15.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,30,Q Claims,15.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,57,Q Claims,16.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,32,Q Claims,16.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1137,4,Q Claims,17.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,34,Q Claims,17.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2381,59,Q Claims,175,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,36,Q Claims,18.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,37,Q Claims,19.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",824,2,Q Claims,2,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4881,5,Q Claims,2,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1343,9,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1496,4,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1822,12,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1935,11,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2524,5,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2683,7,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3934,4,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4310,33,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4317,6,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4330,5,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4489,26,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4565,4,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,29,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4621,5,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4657,4,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,4,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4722,4,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4773,4,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4782,4,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4817,4,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4893,6,Q Claims,2.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1500,4,Q Claims,2.5 hrs,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,38,Q Claims,20.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,39,Q Claims,21.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",397,1,Q Claims,21_[             f   ]_SEQ1239,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,40,Q Claims,22.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1046,4,Q Claims,24/7/365.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2169,1,Q Claims,297k,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4881,7,Q Claims,3,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1395,6,Q Claims,3) Both,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1496,6,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1822,14,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1935,13,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2683,9,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3934,5,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4310,35,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4317,8,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4330,7,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,31,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4621,6,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4657,6,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,6,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4722,6,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4782,6,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4817,6,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4893,9,Q Claims,3.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3169,2,Q Claims,‘Projection’ 101,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1512,4,Q Claims,‘The Beginning’,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2381,38,Q Claims,“Enemy Combatant”,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3039,2,Q Claims,“Forward”,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3039,3,Q Claims,“Greater Together”,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",365,25,Q Claims,“Special Place”,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3039,5,Q Claims,“We Don’t Quit”,assumed claims
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",4542,19,Q Claims,+ Carlo Maria Viganò,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",4542,19,Q Claims,+ Carlo Maria Viganò,assumed claims
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1319,72,Q Claims,+ CEOs,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",1319,72,Q Claims,+ CEOs,assumed claims
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1927,21,Q Claims,+ Chair/CEO/VP removal,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",1927,21,Q Claims,+ Chair/CEO/VP removal,assumed claims
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1927,17,Q Claims,+ State personnel removal,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",1927,17,Q Claims,+ State personnel removal,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1395,4,Q Claims,1) They know,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3410,5,Q Claims,"1, 2, 3, 4, 5…..",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",959,7,Q Claims,1 former intel dir,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1900,1,Q Claims,1 of 2,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2682,13,Q Claims,1) FAKE NEWS MEDIA push of 'by design' narrative [daily updates – 4am],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2682,33,Q Claims,‘DIVIDED’,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",261,3,Q Claims,$,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1069,10,Q Claims,$,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",816,10,Q Claims,$$$$$$$$$$$$$$$$$,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4724,8,Q Claims,$$$$$$$$$$$$$$$$$$$$,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",466,2,Q Claims,"$$$,$$$,$$$",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1056,4,Q Claims,(1) F,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1056,5,Q Claims,(1) M,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1453,7,Q Claims,(all in one),assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1871,4,Q Claims,(Alt + US Media) (US Politicians),assumed claims
"The Final Category cell was empty, so the SHEET decided the section",179,3,Q Claims,(Characters),assumed claims
"The Final Category cell was empty, so the SHEET decided the section",460,5,Q Claims,/[RR-out][P_pers],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3579,1,Q Claims,/agg_image_failure/,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2844,8,Q Claims,:RT Jan 29 2018 - IDEN [not for anons],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1828,9,Q Claims,^^^^,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1828,11,Q Claims,^^^^,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1828,7,Q Claims,^^^^^,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1828,5,Q Claims,^^^^^                                                                                ^^,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,7,Q Claims,_FREEDOM-_v&CAS0R-T2_yes_27-1_t,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,6,Q Claims,_FREEDOM-_v^CAS0R-T_yes_27-1_87x,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,9,Q Claims,_FREEDOM-_v_stand,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,10,Q Claims,_FREEDOM-_v_stand,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,11,Q Claims,_FREEDOM-_v_stand,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,12,Q Claims,_FREEDOM-_v_stand,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,13,Q Claims,_FREEDOM-_v_stand_CAN,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,2,Q Claims,_FREEDOM-_v05_yes_27-1_z,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,14,Q Claims,_FREEDOM-_v1_stand,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,15,Q Claims,_FREEDOM-_v1_stand,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,16,Q Claims,_FREEDOM-_v1_stand,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,3,Q Claims,_FREEDOM-_v198_yes_27-1_b,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,17,Q Claims,_FREEDOM-_v2_stand,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,18,Q Claims,_FREEDOM-_v3_stand,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,20,Q Claims,_FREEDOM-_v4_mod_CAS80^,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,19,Q Claims,_FREEDOM-_v4_mod_D092x,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,4,Q Claims,_FREEDOM-_v-811z_yes_27-1_c,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,8,Q Claims,_FREEDOM-_vEXh29B_yes_27-1_ch,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,44,Q Claims,_FREEDOM-_vGER_US_yes_000BVx_LO_yes_[… + 1]_Conf_y,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,30,Q Claims,_FREEDOM-_vSA_US_stand_DC14vC_EX_y_AW_Conf/stand,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,42,Q Claims,_FREEDOM-_vSA_US_stand_DC26vC_EX_y_AW_Conf/stand,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,43,Q Claims,_FREEDOM-_vSA_US_yes_DC27vc_EX_y_AW_Conf/term/zJ&bY028739478-g,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,23,Q Claims,_FREEDOM-_vSHAz1EVCB_yes_27-1,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,21,Q Claims,_FREEDOM-_vv1_stand,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,22,Q Claims,_FREEDOM-_vv2_stand,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",229,5,Q Claims,_FREEDOM-_vZj9_yes_27-1_y,assumed claims
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",1534,5,Q Claims,+7 POTUS,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",1534,5,Q Claims,+7 POTUS,assumed claims
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",3893,2,Q Claims,+comments,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The Final Category cell was empty, so the SHEET decided the section",3893,2,Q Claims,+comments,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1986,2,Q Claims,05/04/2018,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2135,4,Q Claims,09/07/18,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3031,3,Q Claims,1 = 2,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",519,2,Q Claims,1/13/18,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4256,5,Q Claims,4,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1496,8,Q Claims,4.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1822,16,Q Claims,4.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1935,15,Q Claims,4.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3934,6,Q Claims,4.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4317,10,Q Claims,4.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,33,Q Claims,4.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4621,7,Q Claims,4.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,8,Q Claims,4.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4782,8,Q Claims,4.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",500,2,Q Claims,4-10-20,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4256,6,Q Claims,5,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",959,6,Q Claims,5 political,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1822,18,Q Claims,5.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1935,17,Q Claims,5.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3934,7,Q Claims,5.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,35,Q Claims,5.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4621,8,Q Claims,5.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,10,Q Claims,5.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4488,5,Q Claims,5mm+,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4256,7,Q Claims,6,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1822,20,Q Claims,6.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1935,19,Q Claims,6.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3934,8,Q Claims,6.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,37,Q Claims,6.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4621,9,Q Claims,6.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,12,Q Claims,6.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4256,8,Q Claims,7,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1822,22,Q Claims,7.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,39,Q Claims,7.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,14,Q Claims,7.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",463,1,Q Claims,7/10,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",525,1,Q Claims,7/10.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",68,15,Q Claims,70%.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4603,7,Q Claims,702 non-702,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1449,2,Q Claims,72,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3720,2,Q Claims,7pm EST,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3720,4,Q Claims,7pm EST,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4256,9,Q Claims,8,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1822,24,Q Claims,8.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,41,Q Claims,8.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,16,Q Claims,8.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4256,10,Q Claims,9,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1822,26,Q Claims,9.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,43,Q Claims,9.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,18,Q Claims,9.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2365,9,Q Claims,-9/26 – Federal SW – IPhone/IPAD/Laptop,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3004,5,Q Claims,94-6,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1581,5,Q Claims,Attacks ^,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",299,2,Q Claims,Banks / Financial Institutions,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",377,1,Q Claims,'Conspiracy',assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1001,13,Q Claims,'Conspiracy',assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1010,24,Q Claims,'CONSPIRACY',assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1010,25,Q Claims,'CONSPIRACY',assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1010,26,Q Claims,'CONSPIRACY',assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2816,13,Q Claims,Conspiracy to commit…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2016,1,Q Claims,CORONA 16 TASK ROUTE Z8301,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2015,1,Q Claims,CORONA 8 RE_ROUTE T_83,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4278,2,Q Claims,Corporate media control [source]:,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2500,1,Q Claims,CORSI > [attempt infiltrate] Q,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4586,4,Q Claims,'Countless' labs = deliberate [coordinated],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",466,8,Q Claims,Covert OP by [CLAS-59#241-Q] to infiltrate at highest level to destroy from within?,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4489,5,Q Claims,COVID-2 [C]: Lockdown(s),assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2365,12,Q Claims,-Crime Against Children+++,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4283,4,Q Claims,Critical thinking _media cluster bomb(s) [attacks] v POTUS,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4283,5,Q Claims,Critical thinking _media cluster bomb(s) [attacks] v Q [you],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1068,5,Q Claims,Day [1],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2369,4,Q Claims,DECLAS would [PROVE] evidence v.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1439,9,Q Claims,DECLAS_,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1443,3,Q Claims,DECLAS_Public,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4330,6,Q Claims,DEPLATFORM/REMOVAL [SILENCE],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",756,30,Q Claims,DESIGNATE CODE: [      _D7_UND<93829],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3229,2,Q Claims,Details [CLAS 1-99],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",904,1,Q Claims,DhytcDFbF5874/37875,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4637,2,Q Claims,Digital soldiers #FightBack,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",145,3,Q Claims,DIRECT ATTACK TODAY BY NYT/CLOWNS IN AMERICA:,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",146,3,Q Claims,DIRECT ATTACK TODAY BY NYT/CLOWNS IN AMERICA:,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,40,Q Claims,Eliminate_delay POTUS rallies _term energy,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1912,3,Q Claims,Email (gmail)12.9.16,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2649,3,Q Claims,'ENEMY OF THE PEOPLE',assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1443,4,Q Claims,EO dated_official,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",460,6,Q Claims,EO_CLASSIFIED_WH[   -6713A],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1849,2,Q Claims,Ex 1 GOOG,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2490,1,Q Claims,FAKE NEWS > [optics] 'FALSE' majority > BLUE WAVE,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2567,5,Q Claims,FAKE NEWS coordinated attacks [#2 only to POTUS],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2497,2,Q Claims,FBI - 3,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1489,16,Q Claims,FEAR [re: MSM conspiracy push 1 - controlled],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3754,3,Q Claims,FED Gov't [HUSSEIN] > Pearson Publishing,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",500,3,Q Claims,FIRE & FURY,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3725,6,Q Claims,Fired/forced _ C_A,assumed claims
