Theme anchor,Post,The text,What else covers it
grand jury,2097,grand jury,namedEntity+claim
grand jury,2097,grand jury,namedEntity+claim
FAKE NEWS,2100,FAKE NEWS,question+namedEntity
WWG1WGA,2100,WWG1WGA,request
FISA,2107,fisa,namedEntity+url
FISA,2107,FISA,namedEntity
surveillance,2108,surveillance,claim
FISA,2110,FISA,namedEntity+claim
Anon,2112,Anon,question
Anon,2115,Anon,request
FISA,2116,FISA,namedEntity
FISA,2116,FISA,namedEntity+claim
FISA,2117,FISA,question+namedEntity
DECLAS,2117,DECLAS,question
GOD BLESS,2119,GOD,namedEntity+claim
GOD BLESS,2119, BLESS,claim
ANONS,2123,ANONS,prediction
FISA,2126,FISA,namedEntity+bracketCode
Human trafficking,2128,Human trafficking,question
DECLAS,2129,DECLAS,prediction
FISA,2129,FISA,namedEntity+prediction
DECLAS,2129,DECLAS,prediction
FISA,2129,FISA,namedEntity+prediction
DECLAS,2129,DECLAS,prediction
FISA,2129,FISA,namedEntity+prediction
FISA,2129,FISA,namedEntity+claim
FISA,2135,FISA,namedEntity
impeachment,2136,impeachment,url
impeachment,2136,impeachment,url
impeachment,2136,impeachment,url
impeachment,2136,impeachment,url
impeachment,2136,impeachment,url
impeachment,2136,impeachment,url
impeachment,2136,impeachment,url
impeachment,2136,impeachment,url
impeachment,2136,impeachment,url
WWG1WGA,2138,WWG1WGA,request
ANONS,2140,ANONS,claim
WWG1WGA,2147,WWG1WGA,request
whistleblower,2152,whistleblower,url
Baker,2157,Baker,question+namedEntity
extradition,2160,extradition,question
extradition,2160,extradition,claim
FISA,2165,FISA,namedEntity+claim
CENSORSHIP,2166,CENSORSHIP,prediction
Censorship,2171,Censorship,question+request
Define 'Dogma'.,2171,Define 'Dogma'.,question+request
Censorship,2171,Censorship,claim
FAKE NEWS,2171,FAKE NEWS,claim+bracketCode
Censorship,2171,Censorship,claim
Censorship,2171,Censorship,claim
FAKE NEWS,2171,FAKE NEWS,question
anon,2171,anon,url
DECLAS,2173,DECLAS,question
DIVIDED by RELIGION.,2174,DIVIDED by RELIGION.,claim
WWG1WGA,2174,WWG1WGA,request
fisa,2176,fisa,url
"""I do solemnly swear (or affirm) that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter: So help me God.""",2180,"""I do solemnly swear (or affirm) that I will support and defend the ",claim
"""I do solemnly swear (or affirm) that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter: So help me God.""",2180,Constitution,namedEntity+claim
"""I do solemnly swear (or affirm) that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter: So help me God.""",2180," of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same;",claim
"""I do solemnly swear (or affirm) that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter: So help me God.""",2180,God,namedEntity+claim
"""I do solemnly swear (or affirm) that I will support and defend the Constitution of the United States against all enemies, foreign and domestic; that I will bear true faith and allegiance to the same; that I take this obligation freely, without any mental reservation or purpose of evasion; and that I will well and faithfully discharge the duties of the office on which I am about to enter: So help me God.""",2180,".""",claim
Godspeed.,219,Godspeed.,request
Anons,2190,Anons,claim
WWG1WGA,2193,WWG1WGA,request
Anons,2198,Anons,claim
DECLAS,2200,DECLAS,claim
FAKE NEWS,2202,FAKE NEWS,namedEntity+bracketCode
declassify,2210,declassify,url
grand jury,2211,grand jury,namedEntity+claim
human trafficking,2211,human trafficking,question
DECLAS,2212,DECLAS,claim
FVEY,2217,FVEY,namedEntity
Anon,2229,Anon,claim
Baker,2230,Baker,question+namedEntity
Anon,2231,Anon,request
Anon,2233,Anon,request
God bless,2235,God,request+namedEntity
God bless,2235, bless,request
WWG1WGA,2235,WWG1WGA,request
impeachment,2236,impeachment,url
Anon,2246,Anon,claim
FISA,2248,FISA,question+namedEntity
ANONS,2248,ANONS,claim
MSM,225,MSM,claim
FAKE NEWS,2251,FAKE NEWS,request+namedEntity
ANONS,2251,ANONS,claim
sentence,2253,sentence,claim
FISA,2253,FISA,namedEntity+prediction
DECLAS,2253,DECLAS,prediction
Godspeed.,226,Godspeed.,request
FISA,2261,FISA,namedEntity+claim
FISA,2261,FISA,namedEntity+claim
FAKE NEWS,2263,FAKE NEWS,question
DECLAS,2273,DECLAS,claim
FISA,2273,FISA,namedEntity+claim
DECLAS,2273,DECLAS,claim
CONFLICT OF INTEREST,2273,CONFLICT OF INTEREST,claim
FISA,2273,FISA,namedEntity+claim
Supreme Court,2283,Supreme Court,namedEntity+claim
FAKE NEWS,2285,FAKE NEWS,claim
DECLAS,2286,DECLAS,claim
Anons,2290,Anons,claim
fisa,2294,fisa,url
impeach,2296,impeach,claim
DECLAS,2300,DECLAS,claim
protest,2300,protest,url
WWG1WGA,2305,WWG1WGA,request
subpoena,2306,subpoena,claim
Godspeed.,231,Godspeed.,request
God bless,2312,God,request+namedEntity
God bless,2312, bless,request
Amen,2313,Amen,claim
God bless,2314,God,request+namedEntity
God bless,2314, bless,request
Baker,2323,Baker,namedEntity
Baker,2324,Baker,namedEntity
subpoena,2324,subpoena,claim
subpoena,2324,Subpoena,url
protesters,2325,protesters,url
baker,2326,baker,namedEntity+url
DECLAS,2327,DECLAS,request
ANONS,2329,ANONS,claim
Baker,2331,Baker,namedEntity+claim
DECLAS,2340,DECLAS,question
NARRATIVE SHIFT,2340,NARRATIVE SHIFT,claim
Anons,2342,Anons,question
DECLAS,2350,DECLAS,claim
FAKE NEWS,2351,FAKE NEWS,prediction
DIVIDED by RELIGION.,2352,DIVIDED by RELIGION.,claim
God bless,2355,God,request+namedEntity
God bless,2355, bless,request
impeach,2358,impeach,claim
impeach,2358,impeach,claim
FAKE NEWS,2361,FAKE NEWS,request
Anons,2367,Anons,claim
impeachment,2368,impeachment,url
Anons,2368,Anons,claim
DECLAS,2369,DECLAS,question
DECLAS,2369,DECLAS,question
DECLAS,2369,DECLAS,claim
FISA,2369,FISA,question+namedEntity
Baker,2369,Baker,namedEntity
Anons,2370,Anons,claim
censored,2378,censored,url
Baker,2381,Baker,namedEntity+claim
Federal Judge,2381,Federal Judge,request
protests,2381,protests,claim
FAKE NEWS,2381,FAKE NEWS,claim
impeachment,2381,impeachment,claim
DECLAS,2381,DECLAS,claim
DECLAS,2381,DECLAS,claim
DECLAS,2381,DECLAS,claim
MSM,2383,MSM,request
WWG1WGA,2385,WWG1WGA,request
FAKE NEWS,2386,FAKE NEWS,question
FAKE NEWS,2386,FAKE NEWS,question
FOIA,2388,FOIA,claim
FAKE NEWS,2390,FAKE NEWS,claim
God bless,2393,God,request+namedEntity
God bless,2393, bless,request
DECLAS,2397,DECLAS,request
DECLAS,2397,DECLAS,question
protests,2397,protests,claim
FAKE NEWS,2397,FAKE NEWS,claim
impeachment,2397,impeachment,claim
DECLAS,2397,DECLAS,claim
DECLAS,2397,DECLAS,claim
DECLAS,2397,DECLAS,claim
WWG1WGA,2401,WWG1WGA,request
armor of God,2403,armor of ,request
armor of God,2403,God,request+namedEntity
armor of God,2403,armor of ,request
armor of God,2403,God,request+namedEntity
WWG1WGA,2403,WWG1WGA,request
Anons,2419,Anons,request
Anons,2420,Anons,claim
WWG1WGA,2421,WWG1WGA,request
FAKE NEWS,2423,FAKE NEWS,claim
Fake News,2427,Fake News,claim
sealed indictment,2427,sealed indictment,claim
DECLAS,2429,DECLAS,prediction
"There was a time when respect was given to those who serve(d), bled, and died to protect and defend our GOD GIVEN FREEDOM.",2431,"There was a time when respect was given to those who serve(d), bled, and died to protect and defend our ",claim
"There was a time when respect was given to those who serve(d), bled, and died to protect and defend our GOD GIVEN FREEDOM.",2431,GOD,namedEntity+claim
"There was a time when respect was given to those who serve(d), bled, and died to protect and defend our GOD GIVEN FREEDOM.",2431, GIVEN FREEDOM.,claim
Amen,2432,Amen,claim
GOD BLESS,2436,GOD,request+namedEntity
GOD BLESS,2436, BLESS,request
WWG1WGA,2436,WWG1WGA,request
God bless,244,God,request+namedEntity
God bless,244, bless,request
WE STAND FOR RELIGIOUS FREEDOM.,2440,WE STAND FOR RELIGIOUS FREEDOM.,claim
DECLAS,2444,DECLAS,claim
Anons,2449,Anons,claim
WWG1WGA,2450,WWG1WGA,request
FAKE NEWS,2461,FAKE NEWS,question
SUPREME COURT,2462,SUPREME COURT,namedEntity+claim
voter fraud,2463,voter fraud,question
administration,2468,administration,url
Merry Christmas.,247,Merry Christmas.,request
May God watch over you and your family for all eternity.,2473,May ,claim
May God watch over you and your family for all eternity.,2473,God,namedEntity+claim
May God watch over you and your family for all eternity.,2473, watch over you and your family for all eternity.,claim
unsealing,2478,unsealing,request
Voter Fraud,2479,Voter Fraud,question+namedEntity
Voter Fraud,2479,Voter Fraud,question+namedEntity
God Bless,2480,God,request+namedEntity
God Bless,2480, Bless,request
Indictments,2481,Indictments,bracketCode
Indictments,2482,Indictments,bracketCode
DECLAS,2487,DECLAS,bracketCode
FISA,2489,FISA,namedEntity
FAKE NEWS,2491,FAKE NEWS,question
FAKE NEWS,2491,FAKE NEWS,question
Anons,2491,Anons,claim
WWG1WGA,2499,WWG1WGA,request
God bless,25,God,request+namedEntity
God bless,25, bless,request
PLEA DEAL,2500,PLEA DEAL,claim
FAKE NEWS,2500,FAKE NEWS,claim
National Security,2502,National Security,claim
sentences,2504,sentences,claim
DECLAS,2509,DECLAS,question
subpoena,2509,subpoena,question
DECLAS,2510,DECLAS,question
subpoena,2510,subpoena,question
Anons,2516,Anons,claim
GOD BLESS,2523,GOD,namedEntity+claim
GOD BLESS,2523, BLESS,claim
FISA,2524,FISA,namedEntity+claim
FISA,2525,FISA,question+namedEntity
Fake News,2528,Fake News,request
God bless,2529,God,request+namedEntity
God bless,2529, bless,request
Anon,2531,Anon,claim
Riots,2531,Riots,claim
WWG1WGA,2535,WWG1WGA,request
THE GREAT AWAKENING,2541,THE GREAT AWAKENING,claim
Fake News,2543,Fake News,claim
FISA,2548,FISA,question+namedEntity
FAKE NEWS,2549,FAKE NEWS,question
FAKE NEWS,2556,FAKE NEWS,claim
FAKE NEWS,2556,FAKE NEWS,question+namedEntity
THE GREAT AWAKENING,2556,THE GREAT AWAKENING,claim
What do you want for XMAS?,2557,What do you want for XMAS?,question
FAKE NEWS,2559,FAKE NEWS,question
THE GREAT AWAKENING,2559,THE GREAT AWAKENING,claim
PUBLIC OPINION,2561,PUBLIC OPINION,claim
FISA,2561,FISA,namedEntity
whistleblowers,2562,whistleblowers,question
FAKE NEWS,2563,FAKE NEWS,namedEntity+claim
WWG1WGA,2565,WWG1WGA,claim
WWG1WGA,2566,WWG1WGA,request
FAKE NEWS,2567,FAKE NEWS,claim
FAKE NEWS,2567,FAKE NEWS,namedEntity
Anons,2579,Anons,claim
Pray.,258,Pray.,request
WHISTLEBLOWERS,2581,WHISTLEBLOWERS,question
Anons,2582,Anons,claim
Impeachment,2584,Impeachment,claim
Impeachment,2584,Impeachment,claim
FAKE NEWS,2584,FAKE NEWS,claim
protests,2585,protests,question
9/11,259,9/11,prediction
[Cardinal Pell],2590,[,bracketCode
[Cardinal Pell],2590,Cardinal Pell,namedEntity+bracketCode
[Cardinal Pell],2590,],bracketCode
FAKE NEWS,2591,FAKE NEWS,claim
FAKE NEWS,2595,FAKE NEWS,claim
WWG1WGA,2596,WWG1WGA,request
BAKER,2599,BAKER,question
FAKE NEWS,2599,FAKE NEWS,claim
FAKE NEWS,2602,FAKE NEWS,claim
Indictments,262,Indictments,claim
indictments,2626,indictments,claim
FAKE NEWS,2627,FAKE NEWS,question
DECLAS,2630,DECLAS,request
FAKE NEWS,2630,FAKE NEWS,question
Anons,2631,Anons,claim
FAKE NEWS,2635,FAKE NEWS,claim
FAKE NEWS,2639,FAKE NEWS,question
Anons,2639,Anons,claim
God bless,264,God,request+namedEntity
God bless,264, bless,request
Anons,2641,Anons,claim
FAKE NEWS,2645,FAKE NEWS,question
FAKE NEWS,2645,FAKE NEWS,question
protests,2646,protests,question
National Security,2648,National Security,question
The Great Awakening,2651,The Great Awakening,claim
Public opinion,2654,Public opinion,claim
FISA,2655,FISA,question+namedEntity
Anons,2656,Anons,question
FISA,2657,FISA,question+namedEntity
Fake News,2657,Fake News,question
FAKE NEWS,2658,FAKE NEWS,question
FAKE NEWS,2658,FAKE NEWS,question
FAKE NEWS,2658,FAKE NEWS,question
FAKE NEWS,2658,FAKE NEWS,question
IMPEACH,2658,IMPEACH,question
BRIBE,2658,BRIBE,claim
FOREIGN POLICY,2658,FOREIGN POLICY,claim
DECLAS,2658,DECLAS,claim
FAKE NEWS,2673,FAKE NEWS,claim
Anons,2674,Anons,claim
DECLAS,2676,DECLAS,question
FAKE NEWS,2678,FAKE NEWS,question
FAKE NEWS,268,FAKE NEWS,claim
DECLAS,2681,DECLAS,claim
subpoena,2681,subpoena,claim
DECLAS,2681,DECLAS,claim
subpoena,2681,subpoena,claim
narrative shift,2681,narrative shift,claim
public opinion,2682,public opinion,claim
FAKE NEWS,2682,FAKE NEWS,claim
FAKE NEWS,2682,FAKE NEWS,claim
public opinion,2682,public opinion,claim
FAKE NEWS,2683,FAKE NEWS,question
protests,2683,protests,question
Anons,2684,Anons,question
FAKE NEWS,2687,FAKE NEWS,question
FAKE NEWS,2687,FAKE NEWS,question
FAKE NEWS,2691,FAKE NEWS,claim
Baker,2692,Baker,claim
national security,2692,national security,claim
FVEY,2693,FVEY,namedEntity+claim
FISA,2694,FISA,namedEntity+claim
Anons,2695,Anons,request
"God speed, Patriot.",2696,God,request+namedEntity
"God speed, Patriot.",2696," speed, ",request
"God speed, Patriot.",2696,Patriot,request+namedEntity
"God speed, Patriot.",2696,.,request
WWG1WGA,2696,WWG1WGA,request
Baker,2697,Baker,namedEntity+claim
FAKE NEWS,2697,FAKE NEWS,question
No Such Agency,270,No Such Agency,namedEntity
Anon,2702,Anon,claim
Anons,2711,Anons,question
Anons,2712,Anons,claim
For those who decide to save the taxpayers some money - There is no escaping God.,2724,For those who decide to save the taxpayers some money - There is no escaping ,claim
For those who decide to save the taxpayers some money - There is no escaping God.,2724,God,namedEntity+claim
For those who decide to save the taxpayers some money - There is no escaping God.,2724,.,claim
god bless,2730,god,namedEntity+claim
god bless,2730, bless,claim
FAKE NEWS,2735,FAKE NEWS,request
Anons,2738,Anons,question
FAKE NEWS,2738,FAKE NEWS,question
FAKE NEWS,2741,FAKE NEWS,claim
"But the Lord is faithful, and he will strengthen you and protect you from the evil one.",2744,But the ,request
"But the Lord is faithful, and he will strengthen you and protect you from the evil one.",2744,Lord,request+namedEntity
"But the Lord is faithful, and he will strengthen you and protect you from the evil one.",2744," is faithful, and he will strengthen you and protect you from the evil one.",request
cabinet,2745,cabinet,claim
The Lord is,2751,The Lord is,claim
FAKE NEWS,2768,FAKE NEWS,question
FAKE NEWS,2768,FAKE NEWS,question
MSM,2770,MSM,question
MSM,2770,MSM,question
censored,2784,censored,question
The Great Awakening,2784,The Great Awakening,claim
MSM,2785,MSM,request
DECLAS,2786,DECLAS,question
administration,2787,administration,question
MSM,2788,MSM,question
GOD BLESS,2788,GOD,request+namedEntity
GOD BLESS,2788, BLESS,request
WWG1WGA,2789,WWG1WGA,request
No Such Agency,279,No Such Agency,question+namedEntity
Censorship,2793,Censorship,claim
Indictments,2803,Indictments,prediction
DECLAS,2803,DECLAS,prediction
bribery,2803,bribery,prediction
DECLAS,2804,DECLAS,claim
assassinated,2807,assassinated,claim+bracketCode
Central Bank,2807,Central Bank,question
GOD BLESS,2807,GOD,request+namedEntity
GOD BLESS,2807, BLESS,request
FAKE NEWS,2809,FAKE NEWS,claim
DECLASSIFICATION,2816,DECLASSIFICATION,prediction
Thoughts and prayers.,2821,Thoughts and prayers.,request
Merry Christmas.,284,Merry Christmas.,request
anons,2844,anons,claim+bracketCode
anons,2844,anons,bracketCode
Anon,2846,Anon,request
FAKE NEWS,2849,FAKE NEWS,question
investigation into,2849,investigation into,question
No Such Agency,285,No Such Agency,question+namedEntity
WWG1WGA,2853,WWG1WGA,request
talking points,2856,talking points,question
investigations into,2856,investigations into,question
investigations into,2856,investigations into,question
DECLAS,2856,DECLAS,question
THE GREAT AWAKENING,2856,THE GREAT AWAKENING,claim
Bakers,2857,Bakers,namedEntity+claim
God bless,2857,God,request+namedEntity
God bless,2857, bless,request
indictment,2860,indictment,question
FAKE NEWS,2873,FAKE NEWS,claim
WWG1WGA,2873,WWG1WGA,request
JUDGEMENT DAY COMING.,2876,JUDGEMENT DAY COMING.,prediction
"Ask yourself a simple question, should a woman who travels to Syria to support and encourage 'JIHAD' against the 'West' deserve to live……………….?",2887,"Ask yourself a simple question, should a woman who travels to ",question
"Ask yourself a simple question, should a woman who travels to Syria to support and encourage 'JIHAD' against the 'West' deserve to live……………….?",2887,Syria,question+namedEntity
"Ask yourself a simple question, should a woman who travels to Syria to support and encourage 'JIHAD' against the 'West' deserve to live……………….?",2887, to support and encourage 'JIHAD' against the 'West' deserve to live……………….?,question
Godspeed.,289,Godspeed.,request
Anons,2895,Anons,claim
riot,29,riot,claim
The child abductions for satanic rituals (ie Haiti and other 3rd world countries) are paused (not terminated until players in custody).,29,The child abductions for satanic rituals (ie Haiti and other 3rd world countries) are paused (not terminated until playe,claim
Bribes,2901,Bribes,claim
FAKE NEWS,2902,FAKE NEWS,claim
Armor of God,2904,Armor of ,request
Armor of God,2904,God,request+namedEntity
Armor of God,2904,armor of ,request
Armor of God,2904,God,request+namedEntity
Armor of God,2904,armor of ,request
Armor of God,2904,God,request+namedEntity
Anons,2906,Anons,question
FAKE NEWS,2913,FAKE NEWS,question
FAKE NEWS,2917,FAKE NEWS,question
[14:05] – Pretending not to hate Catholics,2918,[14:05],claim+bracketCode
[14:05] – Pretending not to hate Catholics,2918, – Pretending not to hate Catholics,claim
FAKE NEWS,2927,FAKE NEWS,question
DECLAS,2930,DECLAS,claim
DECLAS,2930,DECLAS,question
Anon,2932,Anon,request
WWG1WGA,2934,WWG1WGA,request
impeachment,2937,impeachment,request
DECLAS,2937,DECLAS,question+bracketCode
FISA,2938,FISA,question+namedEntity
CHAIN OF COMMAND,2938,CHAIN OF COMMAND,question
DECLAS,2938,DECLAS,claim+bracketCode
Anon,2940,Anon,request
FAKE NEWS,2943,FAKE NEWS,question+bracketCode
The Great Awakening,2954,The Great Awakening,claim
Anon,2955,Anon,claim
pedophiles,2973,pedophiles,claim
FAKE NEWS,2982,FAKE NEWS,claim
THE GREAT AWAKENING,2982,THE GREAT AWAKENING,claim
SIGINT,2984,SIGINT,claim
SIGINT,2984,SIGINT,claim
WWG1WGA,2987,WWG1WGA,request
Rothschilds (cult leaders)(church)(P),299,Rothschilds,namedEntity+claim
Rothschilds (cult leaders)(church)(P),299, (cult leaders)(church)(P),claim
RELIGION VS RELIGION,2994,RELIGION VS RELIGION,claim
God bless,3,God,request+namedEntity
God bless,3, bless,request
WWG1WGA,3002,WWG1WGA,request
Indictments,3011,Indictments,prediction
THE GREAT AWAKENING,3012,THE GREAT AWAKENING,claim
Anons,3013,Anons,claim
Anons,3014,Anons,question
FAKE NEWS,3014,FAKE NEWS,question
The Great Awakening,3017,The Great Awakening,claim
The Great Awakening,3018,The Great Awakening,claim
Surveillance,3020,Surveillance,question+request
Surveillance,3020,surveillance,claim
Surveillance,3020,surveillance,claim
indictments,3028,indictments,question
impeach,3028,impeach,question
DECLAS,3028,DECLAS,question
TALKING POINTS,3028,TALKING POINTS,question
TALKING POINTS,3028,TALKING POINTS,question
WWG1WGA,3030,WWG1WGA,request
"""Free thought"" is a philosophical viewpoint which holds that positions regarding truth should be formed on the basis of logic, reason, and empiricism, rather than authority, tradition, revelation, or dogma.",3038,"""Free thought"" is a philosophical viewpoint which holds that positions regarding truth should be formed on the basis of ",claim
WWG1WGA,3038,WWG1WGA,request
unsealing,3041,unsealing,prediction
indictments,3041,indictments,prediction
CHAIN OF COMMAND,3045,CHAIN OF COMMAND,question
sex trafficking,3050,sex trafficking,claim
Pray for,3050,Pray for,request
Anons,3056,Anons,claim
God bless,3056,God,request+namedEntity
God bless,3056, bless,request
indictments,3060,indictments,claim
DECLASSIFIED,3063,DECLASSIFIED,prediction
FAKE NEWS,3077,FAKE NEWS,claim
The Great Awakening,310,The Great Awakening,claim
Cold War,3126,Cold War,claim
FAKE NEWS,3127,FAKE NEWS,namedEntity
THIS GOES FAR BEYOND SPIRIT COOKING MODELS.,3135,THIS GOES FAR BEYOND SPIRIT COOKING MODELS.,claim
unsealed,3136,unsealed,prediction
"Godspeed, Patriots.",314,"Godspeed, ",request
"Godspeed, Patriots.",314,Patriots,request+namedEntity
"Godspeed, Patriots.",314,.,request
Epstein island dungeon (beneath the temple).,3140,Epstein,namedEntity+claim
Epstein island dungeon (beneath the temple).,3140, island,claim
Epstein island dungeon (beneath the temple).,3140, dungeon (beneath the temple).,claim
Anon,3141,Anon,request
Anons,3155,Anons,request
The Great Awakening,316,The Great Awakening,claim
Sanctions,3162,Sanctions,question
Anons,3162,Anons,question
WWG1WGA,3163,WWG1WGA,request
censoring,3167,censoring,question
WWG1WGA,3170,WWG1WGA,request
FAKE NEWS,3176,FAKE NEWS,claim+bracketCode
FISA,3177,FISA,question+namedEntity
SPECIAL COUNSEL,3177,SPECIAL COUNSEL,question
FVEY,3178,FVEY,namedEntity+claim
THE GREAT AWAKENING,3178,THE GREAT AWAKENING,claim
Anons,3182,Anons,request
FAKE NEWS,3186,FAKE NEWS,claim
Fake News,3194,Fake News,namedEntity+claim
MSM,32,MSM,prediction
Anon,3208,Anon,claim
DECLAS,3225,DECLAS,question
FISA,3225,FISA,question+namedEntity
Indictment,3227,Indictment,question
God bless,323,God,request+namedEntity
God bless,323, bless,request
WWG1WGA,3259,WWG1WGA,request
WWG1WGA,3263,WWG1WGA,request
WWG1WGA,3264,WWG1WGA,request
WWG1WGA,3288,WWG1WGA,request
WWG1WGA,3289,WWG1WGA,request
God bless,33,God,request+namedEntity
God bless,33, bless,request
FAKE NEWS,3304,FAKE NEWS,claim
FAKE NEWS,3306,FAKE NEWS,claim
FAKE NEWS,3309,FAKE NEWS,question
censorship,3312,censorship,question
FAKE NEWS,3312,FAKE NEWS,claim
unmasking,3316,unmasking,question
Anons,3321,Anons,claim
WWG1WGA,3326,WWG1WGA,request
DECLAS,3328,DECLAS,question
IG report,3328,IG,question+namedEntity
IG report,3328, report,question
IG report,3328,IG,question+namedEntity
IG report,3328, report,question
Chain of Command,3330,Chain of Command,claim
FISA,3330,FISA,namedEntity
FAKE NEWS,3334,FAKE NEWS,prediction
Merry Christmas.,334,Merry Christmas.,request
FISA,3340,FISA,namedEntity+claim
DECLAS,3340,DECLAS,prediction
DECLAS,3347,DECLAS,question
FOR GOD AND COUNTRY.,3352,FOR ,request
FOR GOD AND COUNTRY.,3352,GOD,request+namedEntity
FOR GOD AND COUNTRY.,3352, AND COUNTRY.,request
GOD WINS.,3354,GOD,namedEntity+claim
GOD WINS.,3354, WINS.,claim
WWG1WGA,3359,WWG1WGA,request
FAKE NEWS,3363,FAKE NEWS,claim
fake news,337,fake news,claim
unsealing,3385,unsealing,prediction
FAKE NEWS,3391,FAKE NEWS,claim
Who posted 'internal security cam' pics (Temple)(IG)?,3396,Who posted 'internal security cam' pics (Temple)(,question
Who posted 'internal security cam' pics (Temple)(IG)?,3396,IG,question+namedEntity
Who posted 'internal security cam' pics (Temple)(IG)?,3396,)?,question
Epstein Island,3399,Epstein,namedEntity+claim
Epstein Island,3399, Island,namedEntity+claim
What does an 'OWL' symbolize (dark religion)?,3399,What does an 'OWL' symbolize (dark religion)?,question
riots,34,riots,claim
extradition,34,extradition,claim
fake news,34,fake news,prediction
FAKE NEWS,3405,FAKE NEWS,claim
MSM,3409,MSM,question
administration,341,administration,claim
administration,341,administration,claim
Anons,3413,Anons,claim
Anons,3414,Anons,claim
Anons,3425,Anons,claim
THE GREAT AWAKENING,3430,THE GREAT AWAKENING,claim
GOD WINS.,3432,GOD,namedEntity+claim
GOD WINS.,3432, WINS.,claim
FAKE NEWS,3433,FAKE NEWS,claim
WWG1WGA,3438,WWG1WGA,request
They all belong to the same sick cult/club.,344,They all belong to the same sick cult/club.,claim
Anons,3440,Anons,claim
FAKE NEWS,3447,FAKE NEWS,question+namedEntity
THE GREAT AWAKENING,3447,THE GREAT AWAKENING,claim
"""A colorful building that some news reports have called the ""temple"" was actually a gym when Epstein worked out when he was on the island, Scully said, noting in an interview with ABC News that the gym had a memorable feature – a massive framed photo of a topless woman.""",3454,"""A colorful building that some news reports have called the ""temple"" was actually a gym when ",claim
"""A colorful building that some news reports have called the ""temple"" was actually a gym when Epstein worked out when he was on the island, Scully said, noting in an interview with ABC News that the gym had a memorable feature – a massive framed photo of a topless woman.""",3454,Epstein,namedEntity+claim
"""A colorful building that some news reports have called the ""temple"" was actually a gym when Epstein worked out when he was on the island, Scully said, noting in an interview with ABC News that the gym had a memorable feature – a massive framed photo of a topless woman.""",3454," worked out when he was on the island, Scully said, noting in an interview with ",claim
"""A colorful building that some news reports have called the ""temple"" was actually a gym when Epstein worked out when he was on the island, Scully said, noting in an interview with ABC News that the gym had a memorable feature – a massive framed photo of a topless woman.""",3454,ABC,namedEntity+claim
"""A colorful building that some news reports have called the ""temple"" was actually a gym when Epstein worked out when he was on the island, Scully said, noting in an interview with ABC News that the gym had a memorable feature – a massive framed photo of a topless woman.""",3454, News,namedEntity+claim
"""A colorful building that some news reports have called the ""temple"" was actually a gym when Epstein worked out when he was on the island, Scully said, noting in an interview with ABC News that the gym had a memorable feature – a massive framed photo of a topless woman.""",3454," that the gym had a memorable feature – a massive framed photo of a topless woman.""",claim
DECLAS,3458,DECLAS,question
FAKE NEWS,3458,FAKE NEWS,question
DECLAS,3458,DECLAS,question
FISA,3458,FISA,namedEntity+claim
"Godspeed, Patriots.",346,"Godspeed, ",request
"Godspeed, Patriots.",346,Patriots,request+namedEntity
"Godspeed, Patriots.",346,.,request
WWG1WGA,3465,WWG1WGA,request
Anon,3477,Anon,claim
FISA,3481,FISA,namedEntity
DECLAS,3486,DECLAS,claim
DECLAS,3488,DECLAS,claim
God bless,349,God,request+namedEntity
God bless,349, bless,request
ABC News told us it was just a 'gym' inside of the 'TEMPLE'……,3493,ABC,namedEntity+claim
ABC News told us it was just a 'gym' inside of the 'TEMPLE'……,3493, News,namedEntity+claim
ABC News told us it was just a 'gym' inside of the 'TEMPLE'……,3493, told us it was just a 'gym' inside of the 'TEMPLE'……,claim
pray for,35,pray for,request
MSM,350,MSM,claim
Federal Reserve,350,Federal Reserve,namedEntity
God bless,3503,God,request+namedEntity
God bless,3503, bless,request
Anons,3504,Anons,question
sentence,3507,sentence,claim
grand jury,3507,grand jury,namedEntity+claim
grand jury,3507,grand jury,question+namedEntity
"Godspeed, Patriots.",351,"Godspeed, ",request
"Godspeed, Patriots.",351,Patriots,request+namedEntity
"Godspeed, Patriots.",351,.,request
WWG1WGA,3522,WWG1WGA,request
WWG1WGA,3526,WWG1WGA,request
plea deal,3532,plea deal,question
impeachment,3533,impeachment,claim
FAKE NEWS,3533,FAKE NEWS,claim
human trafficking,3534,human trafficking,question
Anons,3535,Anons,claim
FVEY,3539,FVEY,namedEntity+claim
MSM,354,MSM,claim
Federal Reserve,354,Federal Reserve,namedEntity
MSM,3540,MSM,question
WWG1WGA,3546,WWG1WGA,request
