What,Post,The text,Why I did not decide it
Entity with no name yet,3590,Kerry's son,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,3590,Romney's son,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,3627,Desk,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,3627,Notebook,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,3627,Pen,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,3778 3778 3778,Rep.,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,3778 3778 4935 4935 4935,Sen.,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,3784,DECLAS CoC,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,3881,+Sleepers,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,3989 4506 4607 4762,***,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,4011,CROSSFIRE TYPHOON,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,4278,1996 Telecommunications Act,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,4294,PAN-DEM-IC,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,4645,CLAS 1-99 Defense,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,4645,CLAS 1-99 Intel,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,4697,"Alexander Jones, 36","You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,4715,@FBIPortland,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,4784,Lisa Barsoomian _former Bill Clinton attorney,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,4801,Joseph R.,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,4826,Joe 30330,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,4850,Mr.,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
Entity with no name yet,4935,Gov.,"You ruled it an Entity and it is not one the registry already holds. A certified entity needs a canonical name and a type, which the review does not carry — and 244 others were named only because Q's own line names them (a country and its bank, an outlet and its reporter). This one is not that shape, so naming it would be a guess."
